name,id,team,trueShooting,usage,assist,rebound,defensive,blocks
Ilysa Ellif,607f74a4fc13ae0f12000088,Jabberbean,86.11,22.07,19.61,15.36,43.81,42.63
Renee Hebble,607f74a4fc13ae0f12000089,Cogibox,25.27,90.92,94.2,95.62,37.02,93.68
Tiebold Flinn,607f74a4fc13ae0f1200008a,Brainlounge,25.65,56.06,80.48,56.37,87.56,27.21
Valerie Courteney,607f74a4fc13ae0f1200008b,Oyoloo,68.3,58.57,28.84,32.33,44.52,79.77
Wilhelm Salandino,607f74a4fc13ae0f1200008c,Devshare,54.85,33.71,3.55,13.53,54.75,33.6
Dulcine Lister,607f74a4fc13ae0f1200008d,Photobug,76.61,21.84,39.18,18.93,99.83,86.58
Jorey Zanutti,607f74a4fc13ae0f1200008e,Zazio,99.81,79.33,43.85,17.24,17.65,53.88
Natka Pearn,607f74a4fc13ae0f1200008f,Shuffledrive,46.35,14.96,14.62,27.81,61.6,16.85
Anatollo McKellar,607f74a4fc13ae0f12000090,Dynabox,43.88,92.54,97.82,48.22,3.28,24.7
Gray Fawke,607f74a4fc13ae0f12000091,Dabvine,64.61,91.33,97.04,31.99,52.96,49.53
Flin Broadfield,607f74a4fc13ae0f12000092,Zava,32.84,86.31,29.08,68.95,56.42,2.48
Moore Saturley,607f74a4fc13ae0f12000093,Skidoo,43.72,74.41,10.36,65.28,40.69,77.85
Josiah Pietron,607f74a4fc13ae0f12000094,Cogidoo,2.4,29.58,50.36,18.39,8.47,1.86
Arvin Lemm,607f74a4fc13ae0f12000095,Kwinu,7.69,37.44,69.99,76.72,78.24,35.83
Ranna Menhci,607f74a4fc13ae0f12000096,Jabbercube,71.0,36.71,69.58,28.08,63.74,47.7
Cooper Epine,607f74a4fc13ae0f12000097,Trudoo,75.14,45.05,86.1,77.63,93.29,50.99
Orlan Aggs,607f74a4fc13ae0f12000098,Topdrive,99.51,94.46,8.12,59.41,30.9,62.46
Ced Johnston,607f74a4fc13ae0f12000099,Avamba,52.93,19.97,27.86,72.95,83.8,85.48
Field Errigo,607f74a4fc13ae0f1200009a,Livepath,53.59,63.04,88.9,17.35,16.34,32.59
Bev Bernardinelli,607f74a4fc13ae0f1200009b,Flipopia,78.29,52.26,85.87,50.35,71.0,43.05
Kim Hands,607f74a4fc13ae0f1200009c,Kazio,65.4,15.66,64.79,56.74,41.05,75.0
Talia Riediger,607f74a4fc13ae0f1200009d,Yakidoo,18.84,10.92,23.79,70.95,20.92,85.27
Corrianne Bakhrushkin,607f74a4fc13ae0f1200009e,Dynava,44.62,64.41,40.03,82.85,82.53,61.32
Davis Knifton,607f74a4fc13ae0f1200009f,Wordify,24.62,27.79,65.89,85.76,37.05,78.26
Kassandra Savoury,607f74a4fc13ae0f120000a0,Kanoodle,77.73,27.52,32.24,61.13,26.88,54.18
Heidie Berndsen,607f74a4fc13ae0f120000a1,Meemm,32.36,46.97,64.0,98.57,33.55,53.97
Jaclyn McGhie,607f74a4fc13ae0f120000a2,Wikido,99.33,94.41,64.89,86.67,33.72,56.08
Greggory Landers,607f74a4fc13ae0f120000a3,Nlounge,8.06,32.68,18.31,79.75,57.82,83.61
Emelda Hockey,607f74a4fc13ae0f120000a4,Mycat,76.71,81.92,53.1,62.22,79.8,95.77
Isidoro MacShirrie,607f74a4fc13ae0f120000a5,Jabbersphere,81.5,12.46,60.34,11.8,71.41,61.1
Bert Mariner,607f74a4fc13ae0f120000a6,Zoonder,52.45,11.1,52.39,72.57,3.4,45.04
Barbara Iddens,607f74a4fc13ae0f120000a7,Quatz,40.0,98.16,78.95,12.46,54.19,10.32
Nealon Ekless,607f74a4fc13ae0f120000a8,Quinu,70.8,46.82,27.55,50.05,8.5,89.56
Bram Harcus,607f74a4fc13ae0f120000a9,Rooxo,15.84,99.18,32.12,5.31,12.7,70.77
Henry Pauley,607f74a4fc13ae0f120000aa,Voomm,60.96,47.66,86.39,79.66,70.34,50.36
Jonah Renfrew,607f74a4fc13ae0f120000ab,Babbleblab,51.29,64.93,77.06,34.53,43.63,48.06
Sheelagh Elix,607f74a4fc13ae0f120000ac,JumpXS,25.89,50.24,55.87,40.94,30.52,97.28
Roxie Lindmark,607f74a4fc13ae0f120000ad,Skinte,90.74,72.75,29.67,81.93,83.25,83.13
Garey Ivery,607f74a4fc13ae0f120000ae,Oyoyo,73.9,63.43,28.11,22.5,54.23,50.96
Clair Conaghan,607f74a4fc13ae0f120000af,Skipfire,65.09,36.56,80.47,28.32,47.19,86.66
Norbert Carragher,607f74a4fc13ae0f120000b0,Zoombox,90.84,41.39,45.06,11.84,31.24,39.3
Ogdan Gallardo,607f74a4fc13ae0f120000b1,Twinte,25.77,44.09,24.56,77.66,14.35,7.24
Nonna Bourbon,607f74a4fc13ae0f120000b2,Centizu,70.6,83.3,91.36,44.45,8.82,70.33
Julian Demelt,607f74a4fc13ae0f120000b3,Izio,1.07,7.95,48.03,90.16,53.5,55.45
Jolee Pennock,607f74a4fc13ae0f120000b4,Chatterbridge,12.25,19.38,17.41,31.11,21.11,66.36
Concordia Cranstone,607f74a4fc13ae0f120000b5,Abata,36.47,19.21,87.51,68.0,11.45,71.47
Allard Indgs,607f74a4fc13ae0f120000b6,Cogibox,56.33,61.39,97.16,66.7,18.16,52.98
Drucy Ogilby,607f74a4fc13ae0f120000b7,Muxo,57.11,58.65,20.58,93.45,89.39,80.12
Milka Baildon,607f74a4fc13ae0f120000b8,Wordtune,9.95,92.86,16.69,62.36,39.13,28.16
Carlyn Coode,607f74a4fc13ae0f120000b9,Fatz,56.09,92.41,65.31,48.22,79.14,50.71
Tootsie Marlin,607f74a4fc13ae0f120000ba,Eire,89.54,57.5,20.06,2.24,15.73,26.39
Dulciana Privett,607f74a4fc13ae0f120000bb,Twinte,76.13,2.86,84.63,5.76,52.87,57.3
Andria MacMenamy,607f74a4fc13ae0f120000bc,Flashdog,48.22,66.75,75.94,56.7,75.23,64.63
Jarid Letcher,607f74a4fc13ae0f120000bd,Browseblab,55.37,1.26,96.84,41.07,12.14,68.59
Becka Varian,607f74a4fc13ae0f120000be,Wikizz,15.53,45.21,46.5,97.59,83.34,86.21
Devan Sly,607f74a4fc13ae0f120000bf,Jabbersphere,88.68,49.92,73.23,64.77,83.3,3.08
Maynard Christol,607f74a4fc13ae0f120000c0,Twinte,47.31,35.49,26.44,79.49,26.46,52.9
Jorie Hylden,607f74a4fc13ae0f120000c1,Yata,93.97,23.27,29.08,65.16,39.46,26.33
Rogers Fawcett,607f74a4fc13ae0f120000c2,Oba,28.57,25.49,71.34,53.21,33.98,19.36
Titus Bummfrey,607f74a4fc13ae0f120000c3,Zoomdog,87.98,60.18,39.07,58.33,66.19,43.66
Karlie Eustis,607f74a4fc13ae0f120000c4,Innojam,15.04,83.62,95.58,6.69,15.16,53.01
Phillipp Otham,607f74a4fc13ae0f120000c5,Youtags,68.03,2.13,56.35,32.77,70.74,16.5
Rosalinde Raubenheim,607f74a4fc13ae0f120000c6,Youopia,32.54,6.74,97.07,25.73,60.46,84.32
Emmeline Clendennen,607f74a4fc13ae0f120000c7,Kwilith,65.01,96.07,98.88,32.01,28.11,33.01
Edan Gandrich,607f74a4fc13ae0f120000c8,Roomm,41.42,78.77,24.63,13.28,23.37,20.28
Scarlett Domenicone,607f74a4fc13ae0f120000c9,Kare,26.85,24.87,62.78,4.38,83.9,35.09
Sapphire Isham,607f74a4fc13ae0f120000ca,Buzzbean,90.23,94.79,70.46,51.81,98.8,17.93
Charmane Pridie,607f74a4fc13ae0f120000cb,Zoovu,48.96,22.35,32.11,27.88,57.02,60.29
Carole Monk,607f74a4fc13ae0f120000cc,Feedbug,78.84,18.61,92.32,95.18,28.46,84.04
Caren Mossdale,607f74a4fc13ae0f120000cd,Flashpoint,75.59,32.08,83.74,29.48,86.87,43.83
Rheba Bellchamber,607f74a4fc13ae0f120000ce,Jabbersphere,27.95,96.19,35.28,22.59,71.7,18.76
Florette Nettleship,607f74a4fc13ae0f120000cf,Eabox,19.99,37.92,53.71,51.12,42.16,43.08
Kare Issacoff,607f74a4fc13ae0f120000d0,Mudo,63.39,67.88,21.16,49.74,95.61,31.55
Spike Shorte,607f74a4fc13ae0f120000d1,Youspan,82.67,37.97,84.28,93.71,56.2,50.65
Eleanora Romand,607f74a4fc13ae0f120000d2,Trupe,54.63,17.4,31.69,8.43,25.77,68.23
Zerk Liptrod,607f74a4fc13ae0f120000d3,Ntag,71.29,59.35,7.81,98.83,59.44,28.94
Ariel Lilbourne,607f74a4fc13ae0f120000d4,Fliptune,86.85,79.27,23.55,75.11,29.79,19.84
Sharleen Burnhard,607f74a4fc13ae0f120000d5,Quatz,59.43,20.42,11.43,55.77,82.25,79.76
Grazia Pynn,607f74a4fc13ae0f120000d6,Roomm,21.21,96.63,42.85,73.57,61.25,30.07
Boycey Crosier,607f74a4fc13ae0f120000d7,Quatz,42.1,74.63,1.04,66.04,5.48,27.96
Ase Hampstead,607f74a4fc13ae0f120000d8,Mycat,19.05,39.87,34.88,5.43,66.77,41.48
Maisie Vashchenko,607f74a4fc13ae0f120000d9,Buzzbean,29.79,20.99,22.8,36.68,81.3,65.67
Lodovico Astbery,607f74a4fc13ae0f120000da,Blognation,7.48,24.21,64.36,30.47,79.18,47.99
Noella Stodd,607f74a4fc13ae0f120000db,Yakijo,22.22,30.39,54.1,36.86,43.01,30.92
Jennette Hessenthaler,607f74a4fc13ae0f120000dc,Trilith,78.66,98.88,82.12,35.18,46.78,4.52
Charyl Kornilyev,607f74a4fc13ae0f120000dd,Jayo,70.69,59.3,70.65,2.31,49.8,66.69
Benedetta Whistance,607f74a4fc13ae0f120000de,Lazz,62.45,36.26,27.05,67.06,96.2,74.35
Cher Rock,607f74a4fc13ae0f120000df,Tanoodle,40.16,65.27,83.72,43.31,49.54,1.51
Lemuel Stripp,607f74a4fc13ae0f120000e0,Bluejam,19.79,46.39,43.89,12.79,66.89,9.43
Randie Champneys,607f74a4fc13ae0f120000e1,Mydeo,7.94,13.56,24.22,85.13,4.55,90.22
Verina McCarrick,607f74a4fc13ae0f120000e2,Pixoboo,19.73,45.69,47.32,44.9,98.05,19.25
Dulce Gribben,607f74a4fc13ae0f120000e3,Skivee,89.0,99.06,45.47,10.68,40.65,22.5
Naomi Yesichev,607f74a4fc13ae0f120000e4,Agimba,57.06,49.58,14.79,50.6,13.41,8.22
Nady Dainter,607f74a4fc13ae0f120000e5,Feedfish,50.63,63.99,85.85,67.38,13.2,72.15
Henry Auchterlony,607f74a4fc13ae0f120000e6,Zooveo,4.76,28.9,68.6,27.86,83.45,78.99
Stace Udall,607f74a4fc13ae0f120000e7,Feedmix,81.24,63.15,60.85,99.67,5.09,61.32
Charley Di Carlo,607f74a4fc13ae0f120000e8,DabZ,49.34,74.85,40.77,22.02,48.86,81.37
Sterling Mourge,607f74a4fc13ae0f120000e9,Leenti,86.61,58.84,11.71,80.57,88.68,74.75
Tannie Flockhart,607f74a4fc13ae0f120000ea,Ozu,95.72,15.94,56.73,68.05,97.37,36.97
Stanton Jennaroy,607f74a4fc13ae0f120000eb,Quire,19.78,47.11,53.44,4.24,63.77,21.97
Annmaria Schustl,607f74a4fc13ae0f120000ec,Photobean,41.12,53.81,68.13,26.6,4.18,40.57
Sheelagh Kirkpatrick,607f74a4fc13ae0f120000ed,Twimm,46.22,38.22,85.59,75.46,58.49,81.22
Bren Maskell,607f74a4fc13ae0f120000ee,Topiclounge,61.53,22.23,67.78,63.03,66.46,32.48
Margette Deme,607f74a4fc13ae0f120000ef,Jaxbean,13.23,83.73,81.59,15.04,8.02,55.61
Elbertina Testro,607f74a4fc13ae0f120000f0,Zoomzone,69.88,12.63,5.41,20.04,41.28,81.99
Gill Brinson,607f74a4fc13ae0f120000f1,Quamba,38.33,3.61,45.29,31.59,62.91,82.57
Quintina Heinl,607f74a4fc13ae0f120000f2,Quinu,3.33,26.63,78.45,39.5,41.21,33.19
Binnie Fattorini,607f74a4fc13ae0f120000f3,Trupe,21.38,39.87,21.93,78.4,22.63,15.88
Kerr Geleman,607f74a4fc13ae0f120000f4,Dynabox,3.6,46.89,52.1,35.86,24.74,18.64
Roarke Aronsohn,607f74a4fc13ae0f120000f5,Divavu,47.83,41.52,38.35,20.21,31.21,96.54
Linzy Shellard,607f74a4fc13ae0f120000f6,Dabtype,45.81,1.06,69.1,92.61,91.41,42.56
Elinore Graalman,607f74a4fc13ae0f120000f7,Dynabox,74.93,42.47,87.57,11.44,15.43,92.83
Nero Donegan,607f74a4fc13ae0f120000f8,Dabshots,48.54,45.4,44.42,71.92,28.28,20.66
Dallis Parlour,607f74a4fc13ae0f120000f9,Vitz,29.89,19.61,64.63,57.22,15.59,24.25
Chiarra Horsewood,607f74a4fc13ae0f120000fa,Camido,52.21,50.12,24.81,56.38,46.54,73.7
Ingmar Sugar,607f74a4fc13ae0f120000fb,Topicblab,39.1,57.19,42.94,11.73,8.56,17.88
Ulrick Ronan,607f74a4fc13ae0f120000fc,Buzzshare,18.06,34.93,51.08,52.7,43.75,35.07
Griswold Wragg,607f74a4fc13ae0f120000fd,Dabfeed,32.22,74.0,99.04,9.34,95.16,81.48
Nancee Placstone,607f74a4fc13ae0f120000fe,JumpXS,14.94,9.84,19.97,87.73,66.84,50.75
Chester Bread,607f74a4fc13ae0f120000ff,Fanoodle,20.07,67.5,3.46,98.56,62.31,35.74
Tailor Dunstone,607f74a4fc13ae0f12000100,Zooveo,13.38,84.3,29.51,78.21,10.51,44.52
Chuck Doyle,607f74a4fc13ae0f12000101,Jabbertype,27.28,21.95,95.45,12.72,42.32,30.16
Lauri Brogi,607f74a4fc13ae0f12000102,Myworks,49.55,51.26,54.22,75.13,30.46,21.67
Johannes Shipley,607f74a4fc13ae0f12000103,Voolia,25.62,74.65,97.07,18.57,43.31,13.18
Brianne Pucknell,607f74a4fc13ae0f12000104,Wikizz,62.8,74.37,85.29,96.38,83.56,30.67
Odessa McClosh,607f74a4fc13ae0f12000105,Devbug,27.56,94.97,51.87,27.71,87.84,33.35
Jimmy Gunton,607f74a4fc13ae0f12000106,Photospace,35.58,4.5,63.89,73.17,27.92,75.06
Urbano King,607f74a4fc13ae0f12000107,Brainsphere,80.81,62.1,86.14,45.9,65.0,60.16
Dynah Le Breton,607f74a4fc13ae0f12000108,Kamba,77.76,1.34,13.36,21.24,97.39,22.28
Perl Budden,607f74a4fc13ae0f12000109,Twitternation,34.19,31.4,65.21,80.16,65.68,49.79
Renaldo Duffell,607f74a4fc13ae0f1200010a,Einti,51.32,47.98,19.99,74.9,25.26,98.35
Orella Jancy,607f74a4fc13ae0f1200010b,Gabcube,8.4,29.83,43.97,17.46,68.98,1.23
Ophelia Plewes,607f74a4fc13ae0f1200010c,Meevee,10.65,83.81,50.23,46.21,36.86,84.6
Kimberli Stott,607f74a4fc13ae0f1200010d,Tazz,98.74,34.41,40.02,18.22,46.88,67.03
Mallorie Treasaden,607f74a4fc13ae0f1200010e,Jabberbean,8.95,22.01,36.13,36.17,81.19,33.49
Morganne Roncelli,607f74a4fc13ae0f1200010f,Eidel,25.18,60.09,71.55,78.82,81.44,64.57
Rae Stockwell,607f74a4fc13ae0f12000110,Divape,84.88,59.03,10.93,6.87,24.19,20.87
Enoch Rusted,607f74a4fc13ae0f12000111,Zoomzone,90.6,51.29,31.76,53.84,62.73,90.2
Pammy Matas,607f74a4fc13ae0f12000112,Twinder,60.96,74.82,26.34,47.64,31.24,15.92
Austen Celloni,607f74a4fc13ae0f12000113,Fadeo,70.19,85.37,44.5,75.33,31.06,61.05
Caleb Aird,607f74a4fc13ae0f12000114,Mymm,47.71,68.19,86.42,6.37,9.85,41.72
Melisent Cantu,607f74a4fc13ae0f12000115,Meedoo,79.82,12.76,44.15,47.88,99.87,59.96
Una Bloys,607f74a4fc13ae0f12000116,Youspan,44.27,36.08,64.36,45.76,72.09,25.84
Samantha Zanicchi,607f74a4fc13ae0f12000117,Midel,77.9,41.3,43.87,23.07,91.29,55.83
Hilde Gormally,607f74a4fc13ae0f12000118,Vidoo,74.29,43.37,22.81,95.32,51.33,37.56
Gawain Gatus,607f74a4fc13ae0f12000119,Ailane,3.5,38.71,9.69,6.74,3.19,1.46
Elnore Govett,607f74a4fc13ae0f1200011a,Eare,5.93,13.98,41.02,19.29,60.31,48.96
Otes Tassaker,607f74a4fc13ae0f1200011b,Skinte,31.35,55.67,8.02,15.86,79.86,66.56
Skip Fines,607f74a4fc13ae0f1200011c,Zoomcast,57.94,83.69,18.67,68.49,55.7,96.0
Tore Ceney,607f74a4fc13ae0f1200011d,Browsecat,76.68,35.4,24.84,72.58,66.76,56.89
Mylo Gourley,607f74a4fc13ae0f1200011e,Wikido,85.61,90.55,56.42,90.95,6.52,48.3
Sanderson Birchner,607f74a4fc13ae0f1200011f,Tavu,88.25,79.7,70.16,2.93,39.55,14.91
Raven Reicherz,607f74a4fc13ae0f12000120,Gabvine,15.7,94.63,11.86,82.34,14.96,3.1
Stacee Eaklee,607f74a4fc13ae0f12000121,Digitube,62.12,13.53,47.93,60.86,44.81,81.3
Karly Andrivot,607f74a4fc13ae0f12000122,Fatz,58.56,71.08,62.64,28.77,23.48,45.1
Leola Yankov,607f74a4fc13ae0f12000123,Kayveo,68.7,74.34,80.04,38.4,3.74,35.63
Nichole Dencs,607f74a4fc13ae0f12000124,Voonix,43.97,37.46,67.76,48.37,23.29,9.0
Sherri Phelit,607f74a4fc13ae0f12000125,Bubblemix,72.29,94.1,51.21,73.93,8.56,85.87
Welch Reggler,607f74a4fc13ae0f12000126,Divanoodle,80.21,73.06,90.42,79.58,27.28,16.41
Jasmine Jeaves,607f74a4fc13ae0f12000127,Jetpulse,23.56,43.13,43.81,9.12,78.27,41.77
Holly Middas,607f74a4fc13ae0f12000128,Omba,89.82,25.04,14.61,59.78,64.5,7.0
Lettie Clutton,607f74a4fc13ae0f12000129,Ainyx,33.88,30.45,3.5,86.49,12.91,65.6
Shandee Boutwell,607f74a4fc13ae0f1200012a,Yozio,31.55,24.32,51.93,40.69,86.27,32.6
Mimi Winchester,607f74a4fc13ae0f1200012b,Divape,66.68,95.62,51.74,37.85,74.59,76.97
Lurline McGuigan,607f74a4fc13ae0f1200012c,Skidoo,13.38,67.91,93.25,52.93,7.96,12.26
Chas Bollins,607f74a4fc13ae0f1200012d,Eamia,18.13,58.56,79.79,13.43,34.76,89.86
Britta Astley,607f74a4fc13ae0f1200012e,Fadeo,21.21,50.23,6.49,73.38,58.05,46.91
Findlay Cousans,607f74a4fc13ae0f1200012f,Zazio,53.52,94.09,56.01,74.84,24.19,36.68
Skell Goodnow,607f74a4fc13ae0f12000130,Ailane,33.44,51.68,99.39,20.13,76.8,39.8
Filippa Grisedale,607f74a4fc13ae0f12000131,Katz,14.42,78.56,63.46,34.13,88.32,84.03
Reinhold Izzatt,607f74a4fc13ae0f12000132,Ntag,61.62,18.42,69.54,44.61,78.95,4.67
Emelda Abrami,607f74a4fc13ae0f12000133,Fatz,39.88,34.3,53.17,80.83,16.39,10.21
Heather Alexsandrovich,607f74a4fc13ae0f12000134,Shufflester,87.17,16.35,15.48,1.63,40.92,95.11
Frazier Ciccottio,607f74a4fc13ae0f12000135,Brightbean,66.83,54.46,9.95,94.66,16.11,55.78
Dolly Fathers,607f74a4fc13ae0f12000136,Fatz,77.71,6.64,55.54,31.7,64.32,14.5
Sylvan Chatburn,607f74a4fc13ae0f12000137,Photofeed,2.06,28.33,80.47,70.99,22.31,38.61
Edee Maffeo,607f74a4fc13ae0f12000138,Oyoloo,37.67,19.56,35.08,61.46,12.87,21.79
Kristal Noir,607f74a4fc13ae0f12000139,Gigabox,81.4,82.34,84.8,59.12,85.33,66.87
Carina Iacopo,607f74a4fc13ae0f1200013a,Lajo,64.22,93.33,81.36,91.67,34.69,38.56
Roldan Rowlinson,607f74a4fc13ae0f1200013b,Rhycero,21.59,96.54,39.39,93.87,1.3,11.48
Basile Gerrie,607f74a4fc13ae0f1200013c,Plajo,87.1,38.77,24.26,38.35,67.33,56.31
Budd Gumley,607f74a4fc13ae0f1200013d,Thoughtsphere,38.16,47.57,38.31,91.99,66.01,50.2
Tito Mankor,607f74a4fc13ae0f1200013e,Gigaclub,99.37,29.07,73.3,39.14,93.45,85.97
Melisse Henriquet,607f74a4fc13ae0f1200013f,Voonix,50.55,5.78,25.28,23.3,75.39,53.52
Konstance Feaver,607f74a4fc13ae0f12000140,Eadel,79.33,78.05,64.72,88.8,26.07,1.92
Isidro Chapleo,607f74a4fc13ae0f12000141,Centidel,70.46,24.52,70.19,47.34,72.36,70.84
Tomaso Florentine,607f74a4fc13ae0f12000142,Topiclounge,95.0,35.97,82.14,63.65,89.98,50.6
Udall Arger,607f74a4fc13ae0f12000143,Mycat,72.12,51.13,61.81,71.51,70.09,71.25
Jolynn Cherry,607f74a4fc13ae0f12000144,Oyoba,80.8,53.84,95.06,57.25,49.33,41.78
Ebonee Thrasher,607f74a4fc13ae0f12000145,Ooba,65.44,88.94,97.43,34.76,26.08,2.15
Olly Fenge,607f74a4fc13ae0f12000146,Kanoodle,61.55,92.11,60.33,95.87,50.42,68.71
Sully Simenot,607f74a4fc13ae0f12000147,Browsecat,26.44,81.19,82.1,29.92,85.21,48.09
Amerigo Esmead,607f74a4fc13ae0f12000148,LiveZ,21.86,83.08,21.89,57.83,14.29,25.87
Ricca Ducastel,607f74a4fc13ae0f12000149,Rhyloo,63.7,95.4,13.13,16.27,54.92,56.79
Reamonn Cockayne,607f74a4fc13ae0f1200014a,Edgeblab,68.37,7.0,97.43,65.98,43.59,92.64
Blythe Ommanney,607f74a4fc13ae0f1200014b,Oyoba,43.36,28.7,11.78,60.78,65.61,47.9
Betta Southcott,607f74a4fc13ae0f1200014c,Twimm,85.07,36.52,91.83,1.72,16.54,49.27
Jolene Hanrahan,607f74a4fc13ae0f1200014d,Muxo,82.64,43.41,85.5,63.91,48.28,71.04
Francoise Dregan,607f74a4fc13ae0f1200014e,Realbridge,67.99,41.92,57.45,8.13,63.2,5.13
Windham Liggins,607f74a4fc13ae0f1200014f,Voonte,15.08,85.9,32.23,60.34,21.31,85.65
Marcelle MacVay,607f74a4fc13ae0f12000150,Katz,74.48,78.01,89.75,92.99,23.21,76.28
Steffie Mattholie,607f74a4fc13ae0f12000151,Jaxworks,18.13,49.94,72.98,86.37,89.92,12.76
Sisely Rolland,607f74a4fc13ae0f12000152,Brainlounge,52.57,90.66,87.83,25.87,65.09,93.53
Tabbie Bremner,607f74a4fc13ae0f12000153,Topicblab,32.06,18.88,73.9,34.11,56.74,30.84
Farly Bowler,607f74a4fc13ae0f12000154,LiveZ,18.82,41.89,78.02,55.76,3.13,56.74
Lynn Tangye,607f74a4fc13ae0f12000155,Skinte,55.34,4.01,16.5,49.76,92.68,27.92
Masha Mulliss,607f74a4fc13ae0f12000156,Vinder,35.29,47.59,83.92,35.46,13.04,28.73
Paige Gisburne,607f74a4fc13ae0f12000157,Linkbuzz,74.64,45.59,93.37,34.34,62.02,63.88
Juditha Spurdle,607f74a4fc13ae0f12000158,Flashspan,70.35,7.11,53.75,66.21,15.49,77.59
Alysa D'Onisi,607f74a4fc13ae0f12000159,Rhynoodle,6.19,49.69,86.98,11.1,89.51,34.93
Issy Burchfield,607f74a4fc13ae0f1200015a,Quimba,50.1,23.72,87.05,16.4,57.28,18.55
Brady Georgot,607f74a4fc13ae0f1200015b,Aibox,35.35,25.55,74.33,90.1,93.88,81.32
Elton Pabst,607f74a4fc13ae0f1200015c,Brainbox,34.73,53.99,73.07,84.84,45.14,16.35
Shirlene Pauwel,607f74a4fc13ae0f1200015d,Blogspan,24.48,83.74,4.78,22.75,15.95,49.19
Kerianne Ive,607f74a4fc13ae0f1200015e,Digitube,27.63,40.4,71.15,8.2,69.24,10.9
Melinda Gorring,607f74a4fc13ae0f1200015f,Leenti,67.32,2.07,6.04,69.31,82.84,76.5
Ursola Claige,607f74a4fc13ae0f12000160,Dabjam,98.24,9.52,92.94,76.96,35.7,16.25
Gunilla Assante,607f74a4fc13ae0f12000161,Dazzlesphere,85.51,14.61,41.21,65.11,84.3,7.46
Burt Hefner,607f74a4fc13ae0f12000162,Meevee,94.71,16.81,62.03,79.39,59.8,50.2
Cherise Ivanyushin,607f74a4fc13ae0f12000163,Trilith,67.42,39.05,35.16,92.72,8.24,21.57
Leanora Sarrell,607f74a4fc13ae0f12000164,Tekfly,53.27,99.42,42.92,94.87,33.22,15.17
Carita Errichiello,607f74a4fc13ae0f12000165,Jetwire,84.77,90.24,14.6,19.87,42.94,25.31
Augustin Petersen,607f74a4fc13ae0f12000166,Skidoo,48.83,29.16,77.13,36.27,52.48,73.51
Upton Pollak,607f74a4fc13ae0f12000167,Dabvine,9.91,1.18,89.14,51.75,6.18,74.02
Paulita Bearham,607f74a4fc13ae0f12000168,Kwilith,96.84,81.27,35.0,92.89,99.06,67.91
Rriocard Bresnahan,607f74a4fc13ae0f12000169,Youspan,91.95,55.33,45.13,25.62,64.63,25.3
