firstname,lastname,team,age,trueShooting,usage,assist,rebound,defensive,blocks
Rosaline,Phi,Minnesota Timberwolves,28,13.76,29.56,28.58,17.48,97.91,43.92
Hettie,Sabella,Dallas Mavericks,29,47.32,24.99,52.29,42.33,12.82,21.78
Valera,Nunci,Phoenix Suns,24,26.32,41.46,89.29,69.17,34.83,97.81
Molli,Grimbly,Philadelphia 76ers,27,75.17,25.48,87.69,26.64,62.27,69.25
Gabriellia,Ackerley,Portland Trail Blazers,26,17.23,36.33,15.81,78.11,28.05,91.56
Antonietta,Nahum,Phoenix Suns,28,24.62,85.78,72.41,10,16.81,97.7
Carlie,Helve,Cleveland Cavaliers,27,30.31,19.75,16.95,38.09,21.86,96.43
Gianina,Lane,Chicago Bulls,28,17.84,2.6,40.17,22.25,69.41,91.47
Jobi,Ball,Dallas Mavericks,19,56.95,37.45,95.24,82.51,63.11,88.46
Kassey,Fredi,Portland Trail Blazers,29,46.75,25.28,92.54,99.4,72.65,83.79
Roseline,Maroney,Milwaukee Bucks,25,84.58,7.61,44.87,38.16,80.63,19.19
Nita,Schalles,Minnesota Timberwolves,25,27.8,71.27,8.2,54.19,3.73,65.71
Alleen,Orlene,Minnesota Timberwolves,26,11.89,14.48,18.02,51.61,24.22,30.96
Wanda,Stanwood,Cleveland Cavaliers,19,98.86,81.07,46.53,84.78,42.48,92.11
Dawn,Marden,Denver Nuggets,28,47.34,44.64,37.75,7.66,56.59,84.87
Sarette,McAdams,Detroit Pistons,28,86.82,22.37,12.37,5.91,49.98,51.86
Goldie,Shaver,New York Knicks,25,16.01,74.64,95.41,6.71,36.47,42.2
Darci,Alabaster,Minnesota Timberwolves,26,85.29,80,32.26,94.75,99.82,41.55
Georgina,Alfons,Indiana Pacers,27,37.93,60.73,61.78,15.41,76.77,85.35
Kial,Couture,San Antonio Spurs,30,77.82,42.81,91.87,86.02,6.92,56.97
Mariann,Tyson,New Orleans Pelicans,19,82.22,58.57,97.25,97.52,47.01,30.44
Fred,Aurelio,New York Knicks,30,1.67,42,22.85,82.12,2,38.97
Dyann,Dosia,Chicago Bulls,22,81.6,27.94,23.48,71.69,20.13,46.64
Lorne,Bigner,Philadelphia 76ers,20,88.07,87.88,24.49,58.69,39.69,9.18
Linzy,Margret,New Orleans Pelicans,30,86.31,71.89,30.33,37.42,24.83,40.7
Wilma,Juliet,Toronto Raptors,24,96.66,41.51,67.02,41.37,73.67,90.13
Betta,Sandye,Minnesota Timberwolves,21,27.57,14.49,23.93,92.34,57.8,30.78
Estell,Zaslow,Oklahoma City Thunder,23,5.75,57.92,20.85,13.01,17.13,8.01
Vivia,Sheedy,Los Angeles Lakers,18,2.57,76.9,2.09,97.57,84.94,89.02
Edith,Lacombe,Cleveland Cavaliers,21,14.26,4.19,67.9,33.6,68.5,81.36
Meriel,Ortrude,Indiana Pacers,26,42.92,40.44,59.39,33.41,5.22,42.19
Lilith,Cloris,Charlotte Hornets,19,11.63,97.13,33.17,60.84,20.05,64.32
Bertine,Hazlett,Miami Heat,28,80.64,52.08,64.19,98.24,62.09,79.51
Lita,Monk,Detroit Pistons,24,36.73,33.05,98.1,50.87,38.17,92.12
Kerrin,Oster,Toronto Raptors,19,5.98,77.14,41.2,90.84,11.25,5.15
Ilse,Dituri,Detroit Pistons,27,55.11,27.25,70.26,62.87,78.73,48.46
Lizzie,Wenda,Denver Nuggets,28,66.27,92.24,34.4,52.93,58.33,67.61
Rosanne,Thad,Toronto Raptors,27,44.56,29.7,58.35,75.32,62.96,83.26
Dominga,Sherrie,San Antonio Spurs,19,58.07,50.17,26.48,52.3,56.91,81.77
Ginnie,Knowling,Portland Trail Blazers,27,10.27,86.02,73.27,50.95,5.28,41.02
Nikki,Fontana,LA Clippers,28,13.45,22.1,36.08,96.61,35.57,65.27
Josephine,Donoghue,Philadelphia 76ers,24,60.53,2.48,99.98,46.39,90.85,38.98
Sallie,Cloris,Washington Wizards,22,73.64,37.22,18.36,53.96,40.11,45.47
Livvyy,Lilybelle,Detroit Pistons,21,38.7,71.93,17.19,58.3,68.79,76.53
Janey,Thornburg,,18,64.44,93.56,41.73,17.29,10.83,91.04
Carlie,Candy,Washington Wizards,24,18.93,30.07,4.78,64.75,89.08,75.02
Calla,Romelda,Los Angeles Lakers,28,42.72,44.8,83.29,21.15,97.02,95.31
Nonnah,Mallon,Portland Trail Blazers,19,85.86,63.46,10.64,34.61,96.19,98.05
Bee,Wilkinson,Orlando Magic,30,44.09,51.94,54.25,72.05,42.49,24.26
Jaclyn,Raimondo,Denver Nuggets,23,92.92,57.9,44.68,94.98,10.98,78.67
Sashenka,Longfellow,New York Knicks,22,71.45,68.62,80.19,53.65,43.16,74.52
Teddie,Azeria,Miami Heat,29,54,95.13,42.49,64.93,36.04,48.59
Gertrud,Ardeha,LA Clippers,29,52.26,51.62,45.29,75.5,45.95,4.4
Tonia,Neils,Golden State Warriors,18,18.06,47.04,65.5,67.12,55.63,70.02
Leeanne,Dahlia,Memphis Grizzlies,29,86.68,8.64,55.8,95.49,10.3,37.16
Rhoda,Nikaniki,Indiana Pacers,18,64.86,80.51,4.27,47.23,14.95,90.88
Kelly,Jarib,Oklahoma City Thunder,20,41.96,51.65,56.35,63.35,93.74,15.02
Ursulina,Wenda,Sacramento Kings,24,63.29,69.56,65.29,38.41,63.31,94.38
Noelle,Allina,Toronto Raptors,24,45.9,45.94,23.59,65.72,53.21,51.78
Demetris,Hashim,Atlanta Hawks,25,55.84,8.26,69.67,51.29,56.54,42.55
Ofilia,Toni,Portland Trail Blazers,22,13.18,40.18,75.43,12.12,23.22,98.39
Mignon,Afton,Memphis Grizzlies,27,52.94,63.33,72.53,10.24,15.29,27.8
Cissiee,Joseph,San Antonio Spurs,25,98.43,24.19,83.02,67.39,91.56,82.53
Fidelia,Santoro,Philadelphia 76ers,30,11.1,5.92,37.27,97.65,81.81,91
Joane,Shelba,Portland Trail Blazers,27,59.81,53.38,1.91,90.03,27.23,9.61
Paola,Sacken,,21,72.41,82.65,69.47,45.11,39.49,47.85
Cherilyn,Rudolph,Miami Heat,26,56.12,8.4,92.23,99.64,70.05,11.1
Myriam,Love,Milwaukee Bucks,29,62.12,45.97,28.67,30.85,43.96,71.56
Deedee,Berard,Portland Trail Blazers,23,28.42,92.76,10.55,87.36,90.09,37.04
Nickie,Valerio,Utah Jazz,21,22.29,38.41,86.38,37.11,47.48,10.94
Yetty,Huggins,Houston Rockets,27,40.83,50.58,7.48,52.04,46.75,1.97
Juliane,Lipson,Golden State Warriors,27,21.66,38.42,94.74,79.79,52.27,61.4
Misha,Serilda,Washington Wizards,30,67.6,90.23,76.86,39.28,46.79,30.01
Jerry,Llovera,Oklahoma City Thunder,24,33.47,49.7,92.76,22.18,77.37,75.4
Estell,Ortrude,New Orleans Pelicans,24,3.63,87.1,96.84,62.92,76.26,95.97
Rosabelle,McLaughlin,Washington Wizards,18,29.62,71.28,1.75,47.26,78.53,47.85
Rozele,Norvol,Milwaukee Bucks,29,18.5,47.13,10.33,25.6,24.4,82.41
Mady,Estella,Atlanta Hawks,27,91.96,80.24,81.45,80.45,26.12,62.24
Nananne,Kaete,Dallas Mavericks,18,73.17,99.25,60.14,53.27,79.28,39.54
Agathe,Rodmann,Utah Jazz,26,33.92,19.72,83.37,7.99,72.17,26.17
Allis,O'Neill,Dallas Mavericks,22,59.29,86.13,56.88,6.72,55.47,87.72
Ermengarde,Berne,Minnesota Timberwolves,18,32.78,96.21,72.95,80.51,74.09,56.54
Shell,Warthman,Milwaukee Bucks,27,10.32,35.45,73.24,18.08,71.98,90.81
Candi,Kazimir,Utah Jazz,25,67.65,79.68,65.6,79.35,97.81,5.8
Merle,Yoko,Detroit Pistons,20,47.55,5.58,70.42,15.53,76.74,84.3
Minne,Garek,LA Clippers,29,9.18,81.17,6.99,46.32,76.61,91.16
Krystle,Raseda,Memphis Grizzlies,23,20.91,90.23,56.42,97.53,2.23,55.02
Alejandra,Alarise,Indiana Pacers,20,13.24,51.6,49.54,49.12,28.18,42.71
Susette,Carvey,San Antonio Spurs,23,53.47,44.89,28.66,75.55,93.92,66.28
Julieta,Maryanne,Washington Wizards,22,87.08,95.08,75.38,65.12,32.03,96.41
Marguerite,Azeria,San Antonio Spurs,23,3.68,74.81,85.51,96.47,50.66,43.99
Frances,Mitzi,Oklahoma City Thunder,28,30.62,36.81,40.16,94.94,16.79,78.63
Marcy,Pacorro,Los Angeles Lakers,30,59.4,27.85,73.65,12.43,47.38,96.87
Alameda,Gaspard,LA Clippers,19,3.17,53.72,10.04,13.66,32.38,55.97
Ilse,Raul,Atlanta Hawks,30,49.81,29.03,91.52,24.06,71.35,76.27
Gaylene,Carvey,,27,1.97,5.2,71.45,33.97,89.05,57
Jaime,Lail,Cleveland Cavaliers,22,13.34,81.35,41.44,18.94,85.42,88.78
Adele,Roche,San Antonio Spurs,25,72.55,68.8,82.49,78.31,16.01,73.26
Loree,Jacqui,Chicago Bulls,18,61.84,35.19,93.78,7.84,51.74,69.01
Zia,Desai,San Antonio Spurs,30,26.38,93.59,34.02,54.96,34.48,62.17
Lenna,Bonilla,Atlanta Hawks,20,43.78,61.07,99.27,29.6,58.39,94.59
Tybie,Phi,Detroit Pistons,27,75.91,75.52,30.34,73.19,32.5,42.53
Bernardine,Ax,Minnesota Timberwolves,26,62.22,48.72,52.04,36.97,14.51,89.72
Laurene,Fry,Atlanta Hawks,24,27.03,14.89,96.97,43.55,75.51,55.08
Gui,Felecia,Oklahoma City Thunder,27,93.86,52.94,69.97,59.14,3.99,92.06
Phylis,Cimbura,LA Clippers,23,35.81,35.33,16.62,91.42,90.21,81.4
Marline,Brenn,Denver Nuggets,25,23.07,90.88,89.89,26.72,84.44,59.01
Libbie,Magnolia,Cleveland Cavaliers,24,49.3,68.74,2.48,68.46,85.18,6.66
Consuela,Viddah,Phoenix Suns,23,80.83,10,39.27,83.08,68.86,10.66
Bobinette,My,Utah Jazz,29,74.84,33.83,77.55,92.68,2.97,88.72
Chloris,Thilda,Indiana Pacers,25,51.1,2.09,87.84,33.23,57.93,25.14
Dania,Mehalek,Miami Heat,20,4.67,36.51,82.67,74.66,78.87,45.22
Elsie,Brittani,LA Clippers,23,14.72,12.62,95.3,16.65,98.53,66.74
Sean,Paine,Indiana Pacers,21,18.59,3.24,17.46,62.99,81.75,27.62
Flo,Persse,New York Knicks,19,84.8,8.57,47.75,5.06,22.78,34.19
Robbi,Catie,Philadelphia 76ers,28,68.27,28.79,57.16,13.74,92.28,60.56
Shandie,Camden,Washington Wizards,25,85.81,97.79,25.24,24.96,3.22,56.47
Sindee,Jammal,Miami Heat,30,1.24,5.04,77.22,91.32,35.3,86.01
Lorne,Kirstin,Milwaukee Bucks,21,86.82,78.4,12.1,19.38,93,21.66
Jacquetta,Maribeth,Indiana Pacers,24,14.85,48.46,27.07,92.75,49.73,98.77
Regina,Aaberg,San Antonio Spurs,26,35.22,59.31,87.1,37.06,67.57,49.36
Wanda,Whittaker,LA Clippers,21,53.5,73.86,10.49,77.63,13.21,27.35
Frieda,Buffum,Los Angeles Lakers,21,14.23,46.2,27.66,63.43,91.62,82.67
Devina,Payson,Houston Rockets,25,77.43,70.87,65.97,81.13,58.63,6.92
Ashlee,Wittie,Indiana Pacers,18,56.57,54.78,86.44,86.73,20.39,2.38
Mireielle,Hashim,New Orleans Pelicans,24,91.59,75.56,39.54,12.82,80.91,49.7
Kirstin,Merriott,New Orleans Pelicans,19,23.16,52.96,52.13,23.27,24.36,96.87
Sandie,Rustice,Brooklyn Nets,22,74.42,21.32,5.3,1.54,61.69,92.38
Eolanda,Lalitta,Chicago Bulls,26,64.97,61.65,51.59,64.47,47.74,21.79
Emilia,Nahum,New York Knicks,25,96.25,2.99,25.26,55.56,89.18,79.66
Gwenneth,Philipp,Toronto Raptors,22,63.5,60.97,1.35,52.63,84.11,44.36
Tierney,Juliet,Milwaukee Bucks,29,98.76,19.8,6.88,38.02,44.44,36.4
Hyacinthe,Daveta,Washington Wizards,19,31.52,85.97,40.7,94.53,94.28,47.44
Steffane,Wenoa,Indiana Pacers,25,88.99,7.4,6.65,4.31,70.67,72.54
Thalia,Hessler,Washington Wizards,29,7.15,48.57,15.96,87.88,92.33,13.55
Dennie,Gaulin,Milwaukee Bucks,30,59.36,43.58,22.39,35.72,19.42,36.87
Elbertina,Arvo,Miami Heat,21,26.6,29.77,16.2,42.12,99.96,58.31
Emilia,Liva,Toronto Raptors,29,57.59,80.1,98.59,18.71,13.93,35.58
Kittie,Terrence,Memphis Grizzlies,21,17.69,8.14,68.43,5.21,94.7,53.6
Elbertina,Ellerey,Oklahoma City Thunder,19,93.97,89.08,76.59,57.85,60.98,20.62
Joy,Wattenberg,Philadelphia 76ers,24,43.27,22.32,34.73,81.08,70.97,19.67
Kathy,Old,Portland Trail Blazers,24,60.24,92.49,61.15,75.37,6.56,50.68
Bernie,Payson,Utah Jazz,18,53.88,99.36,22.79,74.65,76.23,61.24
Gusty,Durante,Cleveland Cavaliers,20,96.1,54.41,79.62,2.37,61.61,83.56
Mathilda,Alva,Washington Wizards,23,19.34,31.47,14.8,60.69,75.14,46.55
Carly,Bibi,Charlotte Hornets,23,34.2,44.06,65.04,20.7,25.74,20.78
Chastity,McNully,San Antonio Spurs,20,41.11,65.6,8.75,57.64,72.13,11.44
Lila,Giule,Milwaukee Bucks,23,62.2,22.87,63.73,13.56,21.22,26.84
Fina,Trey,Atlanta Hawks,21,10.11,92.15,75.32,10.28,79.66,39.45
Micheline,Fairweather,New Orleans Pelicans,29,41.26,69.38,70.48,81.5,30.42,18.75
Hermione,Gherardo,Sacramento Kings,24,94.81,14.3,50.31,59.54,56.58,87.54
Mathilda,Sophronia,Charlotte Hornets,28,33.97,87.56,67.92,26.41,54.95,31.22
Margalo,Corilla,Milwaukee Bucks,29,92.48,39.56,98.54,45.07,53.95,99.16
Ulrike,Sherrie,Milwaukee Bucks,20,41.91,12.38,64,83.35,15.98,45.34
Juliane,Ledah,Phoenix Suns,27,32.73,79.53,90.93,68.02,16.97,6.71
Korrie,O'Carroll,Los Angeles Lakers,21,83.35,99.16,65.45,65.05,7.11,28.07
Fidelia,Phaidra,Boston Celtics,27,90.63,63.41,69.91,70.81,27.96,78.79
Daune,Robertson,New York Knicks,29,45.18,34.76,20.48,59.51,46.16,25.52
Brynna,Dielu,LA Clippers,23,86.8,43.31,55.03,30.08,11.44,86.69
Catharine,Arne,Phoenix Suns,23,18.91,10.61,93.15,57.82,79.42,90.26
Annaliese,Lorenz,Chicago Bulls,25,65.03,19.22,74.92,62.13,98.23,90.39
Melina,Alwin,Philadelphia 76ers,19,96.43,35.59,87.03,13.62,70.44,63.18
Sheree,Karylin,New York Knicks,19,6.81,15.22,87.28,48.63,70.77,7.1
Nessie,Olnee,Philadelphia 76ers,26,52.87,12.26,32.61,27.56,12.14,19.24
Ann-Marie,Raama,Houston Rockets,27,81.21,32.76,76.32,54.59,83.82,77.89
Cassondra,Maryanne,Cleveland Cavaliers,29,1.13,59.22,80.64,40.34,1.31,27.07
Chickie,Ortrude,Boston Celtics,22,12.82,25.85,39.92,90.07,50.3,52.75
Julieta,Reinke,Portland Trail Blazers,26,36.22,32.6,74.39,5.35,73.96,72.26
Nananne,Goode,Miami Heat,28,19.43,61.95,40.96,25.69,36.16,33.24
Elie,Rugen,Philadelphia 76ers,24,49.86,96.72,47.99,80.15,30.26,63.44
Bertine,Cleo,Portland Trail Blazers,27,88.5,42.59,96.67,31.17,70.83,67.01
Gertrud,Anis,Sacramento Kings,19,62.75,24.33,74.71,6.19,27.37,44.21
Philis,Fontana,Washington Wizards,28,47.96,29.42,59.83,4.63,50.89,14.28
Sheree,Juan,Orlando Magic,29,36.42,27.99,50.65,28.58,21.63,35.12
Anallese,Obed,Milwaukee Bucks,29,21.24,31.22,29.62,11.06,82.56,2.69
Blake,Carmena,Golden State Warriors,26,56.42,73.15,10.64,16.61,12.2,98.47
Eolanda,Miru,Phoenix Suns,22,18.18,5.08,80.3,95.29,40.87,51.21
Rosanne,Erminia,New Orleans Pelicans,23,45.67,49.98,65.69,13.28,96.87,84.28
Louella,Hoban,Milwaukee Bucks,21,27.19,11.63,94.66,30.12,74.19,95.88
Dorthy,Byrne,Orlando Magic,22,63.92,31.85,97.31,49.89,77.53,5.1
Iseabal,Raul,New York Knicks,30,67.44,64.25,40.72,79.88,6.71,63.48
Ebonee,Goode,Charlotte Hornets,25,8.24,99.78,53.61,90.93,59.03,31.19
Valera,Diann,New Orleans Pelicans,22,20.33,66.37,88.88,62.35,64.99,2.77
Aurelie,Burnside,Minnesota Timberwolves,18,32.45,30.91,57.2,42.15,68.41,46.68
Sibella,Oster,San Antonio Spurs,22,25.9,47.7,79.24,15.97,10.17,30.52
Alejandra,Paton,Memphis Grizzlies,30,46.06,35.86,19.25,14.36,92.45,65.49
Stephanie,Israeli,Philadelphia 76ers,26,64.27,2.39,3.01,2.67,17.06,47.76
Corina,Si,Memphis Grizzlies,22,99.53,68.78,43.79,49.87,29.99,4.02
Belinda,Ball,Portland Trail Blazers,25,52.1,2.15,78.63,69.96,24.13,53.13
Felice,Bettine,Brooklyn Nets,30,32.14,23.27,64.57,56.72,77.88,18.49
Karly,Kinnard,Indiana Pacers,25,74.07,62.91,71.47,67.79,60.26,73.65
Deloria,Bow,LA Clippers,20,5.83,86.46,42.2,17.77,90.51,76.16
Elie,Maiah,Memphis Grizzlies,27,1.63,98.16,90.34,77.23,63.82,11.86
Nicoli,Robertson,Portland Trail Blazers,29,58.2,65.4,91.55,87.97,29.39,78.9
Jobi,Maxi,Phoenix Suns,27,25.77,99.4,22.09,60.77,88.28,9.87
Fernande,Sisile,Cleveland Cavaliers,20,93.22,37.82,30.25,54.43,80.09,94.07
Ardeen,Middleton,Portland Trail Blazers,19,79.94,40.36,88.72,62.79,58.71,41.77
Lexine,Seumas,Denver Nuggets,24,81.94,65.77,68.99,76.91,56.81,12.02
Kelly,Mata,Houston Rockets,25,68.26,49.69,33.34,80.27,58.3,46.16
Liana,Bethany,Denver Nuggets,18,87.93,44.07,97.95,81.12,27.97,14.61
Aigneis,Guildroy,LA Clippers,27,81.32,64.34,79.75,87.05,48.45,49.38
Agathe,An,Indiana Pacers,23,51.8,93.68,83.78,45.43,90.11,76.6
Darlleen,Killigrew,LA Clippers,26,61.72,73.55,43.47,24.17,62.2,55.51
Stevana,Voletta,Los Angeles Lakers,23,39.99,62.38,88.9,87.54,54.17,26.7
Nonnah,Emmy,Denver Nuggets,26,5.85,63.82,75.92,34.41,67.4,13.05
Linet,Roumell,Orlando Magic,23,70.87,72.3,80.41,20.54,5.21,50.3
Caressa,Bivins,Dallas Mavericks,20,50.12,56.76,4.07,74.63,25.2,57.1
Rani,Dielu,Golden State Warriors,25,64.08,2.1,42.72,20.09,92.68,33.24
Ardys,Kermit,Washington Wizards,29,64.57,4.67,18.68,15.47,55.14,33.58
Elbertina,Quinn,Boston Celtics,25,25.24,29.92,48.62,56.34,17.6,71.88
Jany,Selway,Phoenix Suns,19,57.8,32.43,82.87,95.42,54.71,84.34
Marita,Schlosser,LA Clippers,18,81.11,97.33,76.68,14.69,88.27,23.34
Esmeralda,Berriman,,18,8.55,50.27,35.61,74.62,42.55,79.49
Inga,Irmine,Cleveland Cavaliers,29,18.56,32.13,57.5,9.88,22.22,79.22
Anthia,Riva,Houston Rockets,29,51.33,38.03,17.09,33.96,72.91,26.53
Corina,Hirsch,Dallas Mavericks,22,74.78,59.84,73.08,73.73,18.16,53.36
Goldie,Franza,Dallas Mavericks,18,35.09,9.46,86.79,31.99,64.17,59.44
Aimil,Pauly,Toronto Raptors,29,69.39,10.94,67.17,58.66,81.28,74.04
Tera,Wyn,Oklahoma City Thunder,19,63.9,57.27,18.72,77.1,33.84,86.79
Esmeralda,Holtz,Brooklyn Nets,18,63.46,49.14,18.2,18.84,47.86,52.66
Frieda,Maroney,Minnesota Timberwolves,23,74.98,29.8,83.21,50.31,26.97,16.94
Angelique,Kronfeld,Indiana Pacers,27,37.62,78.82,13.36,42.84,26.76,93.19
Fidelia,Anastatius,Phoenix Suns,30,57.03,12.63,68.43,67.62,19.8,7.37
Lusa,Adalbert,Detroit Pistons,26,16.22,52.06,32.41,29.73,95,89.83
Lita,Stav,Dallas Mavericks,23,28.41,53.12,77.08,6.47,95.5,17.37
Blinni,Felizio,Minnesota Timberwolves,26,30.2,65.62,92.18,70.45,80.99,90.94
Myriam,Tippets,LA Clippers,22,49.42,76.32,31.47,48.69,96.1,59.36
Goldie,Herrera,Utah Jazz,25,36.53,93.33,49.36,20.1,30.85,88.06
Candi,Loring,Toronto Raptors,26,89.6,38.38,21.29,99.65,75.58,90.7
Brietta,Blake,Golden State Warriors,24,52.95,97.73,30.02,6.91,56.66,83.93
Corry,Hathaway,Oklahoma City Thunder,18,71.26,40.89,90.65,20.69,45.66,23.6
Doro,Middleton,Atlanta Hawks,22,2.04,17.95,81.03,52.99,62.17,96.16
