firstname,lastname,team,age,trueShooting,usage,assist,rebound,defensive,blocks
Olivette,Johanna,Phoenix Suns,20,64.91,38.81,22.68,15.56,65.03,89.86
Zaria,Judye,Minnesota Timberwolves,29,33.97,42.24,7.02,5.83,95.44,32.92
Farrah,Ferino,Brooklyn Nets,19,78.15,42.22,89.96,44.69,83.91,16.58
Candi,Tarrant,Golden State Warriors,28,12.39,86.72,57.08,18.95,86.83,22.75
Aili,Letsou,Sacramento Kings,20,81.05,49.43,57.41,46.12,69.84,4.78
Jean,Kellby,Toronto Raptors,28,20.37,78.33,46.34,95.54,71.78,27.05
Marita,Colp,Sacramento Kings,30,97.34,72.97,74.74,51.81,96.79,10.86
Chastity,Cimbura,Toronto Raptors,24,95.78,26.27,28.53,29.31,3.13,10.82
Fayre,Roche,San Antonio Spurs,18,53.47,77.76,45.85,19.92,30.99,64.75
Lory,Amand,New Orleans Pelicans,23,17.9,50.89,41.25,29.74,29.41,92.06
Halette,Auberbach,Golden State Warriors,28,25.14,6.76,43.65,11.77,93.28,14.17
Gilligan,Valoniah,Dallas Mavericks,18,70.14,95.91,85.02,43.13,18.6,35.9
Eve,Gladstone,Milwaukee Bucks,23,96.85,49.54,72.8,81.07,47.39,55.67
Ida,Schenck,Dallas Mavericks,25,4.01,6.13,37.32,76.64,97.75,69.44
Emma,Buttaro,Minnesota Timberwolves,26,80.19,1.05,41.87,55.01,20.51,66.95
Tomasina,Thar,Portland Trail Blazers,28,93.26,30.73,99.21,62.79,30.63,17.02
Sandie,Breed,Utah Jazz,26,50.87,4.96,62.27,2.85,36.63,88.1
Eadie,Rosette,Philadelphia 76ers,25,31.13,34.99,66.13,97.7,22.15,37.37
Nyssa,Land,Toronto Raptors,19,99.01,83.89,23.17,42.02,81.66,88.77
Starla,Allare,Detroit Pistons,19,72.85,79.49,30.18,55.54,7.61,57.27
Mariele,Pond,New Orleans Pelicans,23,9.42,44.99,18.52,77.99,6.14,73.47
Nelle,Berriman,Utah Jazz,29,98.24,1.2,41.68,32.92,80.33,58.55
Aaren,Cressida,San Antonio Spurs,30,19.76,11.76,53.87,95.17,48.13,57.76
Etta,Cecile,Toronto Raptors,19,43.03,29.41,99.33,97.99,25.88,5.88
Esmeralda,Darian,Phoenix Suns,23,47.48,61.58,35.2,89.28,35.14,77.43
Elvira,Ade,Golden State Warriors,22,78.49,86.7,70.18,67.77,6.71,39.67
Sam,Hachmin,Boston Celtics,18,43.32,4.42,16.26,22.94,12.23,19.52
Dotty,Wattenberg,Oklahoma City Thunder,24,22.46,15.57,97.77,93.3,90.55,50.97
Lynnea,Vorster,LA Clippers,21,24.69,13.53,6.25,83.61,35.84,52.49
Correy,Ovid,Toronto Raptors,28,68.86,45.69,93.36,12.03,80.49,38.03
Wilma,Giff,Toronto Raptors,24,50.25,83.41,88.56,30.48,43.78,76.44
Nariko,Naor,Dallas Mavericks,23,50.81,24.88,41.21,71.81,60.51,86
Corina,Fabiola,Washington Wizards,22,37.04,56.84,38.36,20.98,53.51,73.79
Ermengarde,Juliet,Oklahoma City Thunder,28,97.45,10.77,82.2,53.22,66.03,59.54
Merci,Bonilla,Indiana Pacers,28,75.63,4.18,33.47,22.45,73.98,90.38
Gianina,Fontana,Minnesota Timberwolves,25,30.18,61.61,63.37,30.25,13.67,79.03
Charmaine,Roche,Indiana Pacers,26,57.64,98.99,36.49,5.43,70.2,97.6
Rhea,Leifeste,Toronto Raptors,25,1.98,17.17,34.76,58.05,3.96,23.21
Blondelle,Faro,New Orleans Pelicans,30,22.76,86.01,32.47,92.37,83.03,28.7
Frank,Marijo,Miami Heat,29,29.93,49.87,58.31,55.37,76.2,79.2
Gerianna,Lalitta,Toronto Raptors,20,15.51,3.33,62.36,9.45,10.93,39.52
Katuscha,Weitman,Milwaukee Bucks,21,14.57,78.97,78.62,80.99,44.61,70.82
Sallie,Odell,Sacramento Kings,19,88.71,85.55,45.56,55.27,96.97,57.18
Ada,Sinegold,Atlanta Hawks,22,12.99,94.53,82.61,25.57,33.28,32.98
Dode,Bartlett,Houston Rockets,23,67.72,36.46,91.92,23.81,55.63,89.67
Morganica,Eldrid,Washington Wizards,27,87.13,17.97,42.97,2.12,85.97,67.53
Cordi,Chauncey,Miami Heat,22,63.73,41.33,11.14,36.65,53.26,98.94
Jemie,Alwin,Atlanta Hawks,28,96.39,51.01,90.91,25.26,49.43,93.92
Kassey,Sabella,Chicago Bulls,28,22.12,11.57,94.54,72.15,53.37,53.07
Mallory,Skurnik,Memphis Grizzlies,29,18.23,53.63,90.33,71.22,38.6,85.23
Correy,Colleen,Golden State Warriors,26,27.48,77.15,31.18,26.2,68.92,28.49
Letizia,Ulphia,Phoenix Suns,20,92.03,69.01,67.97,68.93,65.75,87.41
Sissy,Sparhawk,Utah Jazz,18,26.07,78.86,52.71,32.51,76.78,84.35
Dotty,Tarrant,Orlando Magic,29,91.87,97.04,62.06,20.88,27.86,14.85
Laurene,Adamsen,Atlanta Hawks,18,70.55,99.18,91.07,80.21,81.02,82.47
Blinni,Euridice,New Orleans Pelicans,26,44.91,23.84,94.24,37.64,12.62,63.62
Berget,Kronfeld,Portland Trail Blazers,26,95.26,29.42,91.69,60.32,26.7,83.04
Jessamyn,Maryanne,Utah Jazz,18,33.63,90.44,24.33,22.34,10.65,30.28
Leontine,Madelene,Milwaukee Bucks,20,76.55,35.15,39.36,67.08,96.66,43.7
Tobe,Kauppi,Washington Wizards,18,69.12,77.88,27.83,61.57,55.84,36.21
Michaelina,Morehouse,Houston Rockets,18,74.13,85.07,90.27,46.56,67.54,88.24
Renae,Creamer,Detroit Pistons,28,16.81,40.21,28.55,93.93,25.98,15.67
Kaia,Natalia,Brooklyn Nets,23,96.19,77.57,60.34,59.45,29.97,90.89
Celisse,Lytton,Atlanta Hawks,24,75.7,24.52,16.09,93.08,29.27,58.25
Winny,Chesna,Charlotte Hornets,27,14.48,61.3,90.64,76.68,29.55,46.69
Elise,Pacorro,San Antonio Spurs,22,4.21,33.05,46.06,10.68,93.38,9.6
Kerrin,An,Indiana Pacers,27,16.36,36.69,35.75,4.27,77.56,17.62
Asia,Pillsbury,Houston Rockets,27,79.86,3.92,37.05,27.97,21.83,97.55
Tierney,Johanna,Utah Jazz,25,45.73,40.41,30.76,20.34,44.82,19.8
Nariko,Penelopa,Washington Wizards,29,89.61,79.11,34.05,49.4,76.13,1.35
Marcy,Erskine,Los Angeles Lakers,21,22.43,68.27,75.59,96.75,62.8,17.61
Karena,Kress,Orlando Magic,19,72.36,54.41,78.33,22.4,93.21,23.62
Cassondra,Yusuk,Washington Wizards,20,1.39,11.86,39.64,99.07,88.06,58.12
Trixi,Winnick,Detroit Pistons,28,64.42,11.46,19.87,7.71,72.83,38.38
Adriana,Brenn,Portland Trail Blazers,27,65.85,68.58,38.13,33.97,3.76,42.71
Corina,Vins,Milwaukee Bucks,28,89.92,72.89,11.14,95.04,39.64,94.67
Mary,Mata,Houston Rockets,28,69.43,97.72,81.31,43.45,31.59,85.68
Vere,Rubie,Sacramento Kings,27,51.23,49.05,82.44,95.34,69.36,96.58
Albertina,Silvan,Toronto Raptors,26,25.04,71.45,73.93,67.35,68.55,64.66
Ekaterina,Natalia,Los Angeles Lakers,25,59.39,24.78,15.54,14.35,83.28,40.94
Kore,Yuille,Philadelphia 76ers,30,70.89,38.37,85.5,30.97,90.96,11.15
Ericka,Ricarda,Dallas Mavericks,24,17.87,38.97,27.32,67.68,76.27,10.97
Binny,Nisbet,Oklahoma City Thunder,18,63.05,75.92,58.61,11.52,44.18,27.94
Mary,Amasa,Golden State Warriors,20,91.65,1.3,79.04,97.76,30.84,25.29
Alie,Ackerley,Philadelphia 76ers,28,26.27,34.74,1.68,17.33,29.25,78.32
Bernie,Mathilde,Los Angeles Lakers,30,87.77,41.51,92.59,29.98,57.18,15.39
Jolyn,Sibyls,Denver Nuggets,22,47.83,99.76,18.39,63.81,65.38,36.24
Nananne,Fry,New York Knicks,24,52.98,62.57,47.56,38.75,91.74,74.99
Ilse,Winthorpe,Denver Nuggets,21,11.08,61.76,41.24,69.82,27.68,55.13
Gretal,Linskey,Memphis Grizzlies,20,91.29,97.58,18.51,38.71,52.17,84.38
Gale,Beebe,Washington Wizards,24,45.32,74.85,48.6,56.38,61.09,62.53
Rozele,Chem,Toronto Raptors,24,79.36,38.02,18.7,5.01,99.91,77.97
Brietta,Ambrosia,Orlando Magic,28,33.32,19.17,58.84,58.15,18.07,99.23
Micheline,Randene,Chicago Bulls,20,11.16,60.19,80.92,53,70.65,3.23
Brana,Parette,Miami Heat,24,92.48,61.43,13.9,1.75,92.76,97.98
Rosabelle,My,Portland Trail Blazers,26,68.07,47.21,8.33,81.58,88.12,55.01
Annaliese,Rosette,Utah Jazz,25,59.99,34.51,92.42,60.65,2.65,19.05
Aryn,Wadell,LA Clippers,23,95.19,9.37,84.99,10.34,23.4,80.59
Sue,Ader,Atlanta Hawks,28,35.71,29.42,92.89,22.21,63.77,49.02
Riannon,Means,LA Clippers,30,32.74,95.89,1.7,32.4,39.11,51.33
Tani,Maroney,Chicago Bulls,29,15.79,58.54,92.44,93.39,31.62,19.91
Chandra,McLaughlin,LA Clippers,20,34.14,29.48,40.97,24.83,56,49.6
Adele,Ries,Memphis Grizzlies,27,66.52,75.07,35.72,83.65,24.24,84.52
Emma,Byrne,New York Knicks,21,43.35,24.46,61.86,29.78,31.01,6.75
Tina,Zaslow,Utah Jazz,23,88.74,76.23,8.36,58.32,98.43,56.88
Jaclyn,Noman,Chicago Bulls,21,5.97,69.3,86.4,9,78.8,63.46
Yetty,Cynar,Indiana Pacers,18,20.33,63.72,76.61,94.57,46.02,1.34
Fina,Lia,Golden State Warriors,19,65.57,80.82,76.23,78.02,61.23,50.97
Vivia,Sabella,Dallas Mavericks,21,96.42,65.14,15.92,34.08,77.65,3.74
Annaliese,Germann,Miami Heat,29,27.66,94.77,57.42,80.93,51.76,74.23
Joy,Emmaline,Houston Rockets,23,70.48,42.31,7.33,55.6,16.27,74.73
Evaleen,Pernick,Portland Trail Blazers,18,70.23,54.66,84.66,75.08,90.86,26.82
Karlee,Berl,Portland Trail Blazers,26,12.88,27.42,54.49,70.74,59.61,84.34
Molli,Dex,Washington Wizards,25,35.66,56.73,76.72,38.42,52.68,92.58
Tori,Vittoria,Washington Wizards,29,56.46,85.27,80.4,65.75,87.13,42.67
Bill,Matthew,Utah Jazz,30,89.43,75.86,27.91,50.45,81.82,87.27
Dania,Breed,Chicago Bulls,19,53.81,22.56,94.29,43.44,66.02,96.74
Kirstin,Margret,Chicago Bulls,20,18.84,81.55,93.37,42.91,2.66,51.51
Sharlene,Hylan,Milwaukee Bucks,26,78.14,58.74,87.33,62.65,28.75,35.87
Kristan,Pernick,Sacramento Kings,28,97.21,90.89,42.37,84.59,41.61,61.1
Steffane,Wildermuth,Oklahoma City Thunder,28,77.3,15.63,16.98,91.9,48.24,50.36
Wileen,Klemperer,Orlando Magic,26,82.25,37.96,21.91,25.15,74.37,46.61
Tersina,Philoo,Orlando Magic,21,97.85,89.04,50.33,75.37,94.31,20.69
Max,Iaverne,Boston Celtics,24,92.44,79.73,43.57,53.18,10.04,68.76
Tilly,Vilma,Milwaukee Bucks,27,42.26,97.49,46.25,9.59,40.12,31.32
Barbara,Lubin,,27,59.22,50.99,86.15,8.96,7.91,48.98
Myriam,Wilkinson,LA Clippers,23,39.5,13.29,30.58,15.86,43.49,37.19
Orelia,Madox,Phoenix Suns,26,50.95,90.18,84.36,44.19,89.99,43.89
Bertine,Tamar,New York Knicks,20,8.6,96.36,99.22,4.61,45.13,3.93
Briney,Llovera,Indiana Pacers,25,82,60.19,5.67,4.48,91.63,76.79
Mureil,Rustice,Phoenix Suns,22,6.11,8.3,83.9,13.2,77.23,8.61
Kial,Valoniah,Milwaukee Bucks,22,64.47,80.71,23.5,45.9,27.59,57.04
Roslyn,Podvin,Portland Trail Blazers,19,80.1,59.17,3.51,18.17,48.64,79.94
Annora,Screens,Washington Wizards,20,90.71,92.52,52.5,62.14,28.37,13.95
Lolita,Kolnick,Golden State Warriors,19,95.53,34.19,14.78,64.32,12.88,92.06
Tina,Caitlin,Toronto Raptors,27,76.29,43.63,10.95,69,40.39,41.9
Kary,Eachern,Philadelphia 76ers,29,43.61,35.16,96.87,98.69,64.03,11.81
Peri,Kazimir,Dallas Mavericks,19,52.33,80.53,26.2,46.52,84.9,32.9
Mamie,Jarib,Los Angeles Lakers,18,70.49,8.27,53.04,98.51,50.4,10.13
Margalo,Philoo,Denver Nuggets,20,68.85,38.35,25.02,3.35,78.63,54.29
Corina,Baudin,Oklahoma City Thunder,29,14.99,40.36,24.09,96.84,53.28,60.41
Orsola,Xerxes,Memphis Grizzlies,24,97,68.62,76.74,39.09,12.51,52.74
Caritta,Sigfrid,Charlotte Hornets,23,39.63,31.56,6.77,31.88,95.73,13.82
Vevay,Merell,Charlotte Hornets,29,22.19,62.16,89.95,51.19,58.24,27.04
Mildrid,Nea,Phoenix Suns,30,93.41,76.93,71.38,91.74,21.35,75.51
Kary,Durware,Indiana Pacers,21,1.36,7.68,69.49,51.68,31.96,76.82
Marnia,Lia,Detroit Pistons,27,83.24,93.04,36.32,6.68,69.86,41.27
Celisse,Ochs,,19,11.38,67.62,97.4,36.19,53.24,70.61
Aurelie,Plato,Miami Heat,21,89.75,56.18,26.02,3.86,19.57,58.17
Max,Tillford,Atlanta Hawks,21,71.46,98.85,18.54,62.96,68.91,99.4
Ebonee,Thad,Dallas Mavericks,25,81.47,21.31,28.74,51.94,90.71,96.3
Elfreda,Connelly,LA Clippers,28,79.96,20.92,58.8,87.77,75.12,51.63
Clarice,Allys,Utah Jazz,19,89.59,79.01,60.47,72.39,76.14,86.94
Gretal,Sharl,San Antonio Spurs,22,26.4,52.98,18.37,96.78,50.22,1.47
Cristabel,Margret,Orlando Magic,19,67.91,30.15,78.99,76.3,65.16,20.61
Moyna,Shaver,Dallas Mavericks,30,70.67,40.72,36.34,18.39,30.45,41.42
Lauryn,Wyn,Phoenix Suns,29,22.01,34.96,80.54,15.56,66.71,81
Gilda,Schroth,Atlanta Hawks,30,21.13,94.33,48.83,38.03,33.74,79.45
Natka,Doig,Houston Rockets,30,62.7,58.74,31.6,23.46,35.3,17.54
Siana,Urania,Chicago Bulls,21,33.82,61.99,48.3,17.94,75.98,6.13
Candi,Mendez,Washington Wizards,22,75.54,49.09,62.69,66.1,99.85,79.77
Jsandye,Jethro,Portland Trail Blazers,24,50.64,48.64,58.11,67.77,51.81,9.54
Karly,Docilla,Detroit Pistons,19,57.06,76.1,54.53,70.86,65.82,19.5
Chickie,Kolnick,Toronto Raptors,24,56.98,53.51,59.13,38.48,94.81,40.91
Regina,Stuart,Portland Trail Blazers,26,55.58,12.8,47.17,57.75,81.54,71.55
Malina,Zetta,Dallas Mavericks,30,97.43,13.94,23.57,68.21,53.51,20.09
Gerrie,Blisse,Portland Trail Blazers,23,90.07,7.91,67.44,13.24,83.34,74.03
Phedra,Weide,Denver Nuggets,30,61.11,93.87,56.99,38.05,71.69,74.97
Stephanie,Faria,Phoenix Suns,24,7.67,26.89,77.86,51.58,63.17,48.73
Romona,Sandye,Charlotte Hornets,18,82.46,25.74,43.67,67.5,30.78,21.06
Dede,Tarrant,Toronto Raptors,24,32.35,16.38,59.62,81.65,55.63,69.88
Vita,Cleo,New York Knicks,28,82.98,78.27,3.11,76.05,50.29,20.04
Shaylyn,Merell,Washington Wizards,28,7.96,33.92,24.71,14.15,42.85,38.73
Brooks,Norvol,Minnesota Timberwolves,27,68.2,5.6,94.03,58.68,69.85,46.73
Chrystel,Pozzy,Minnesota Timberwolves,25,78.37,32.11,43.48,48.71,99,19.77
Fanny,Codding,Golden State Warriors,20,8.31,28.98,29.48,19.38,57.66,98.31
Rosene,Fiann,Memphis Grizzlies,21,77.56,3.72,61.39,97.07,73.84,34.75
Brianna,Bryna,Atlanta Hawks,25,94.59,44.05,38.92,40.19,26.84,91.25
Heddie,Alwin,Los Angeles Lakers,23,57.4,22.86,52.54,14.31,97.89,50.82
Camile,Noelyn,Philadelphia 76ers,18,71.48,88.41,33.03,74.84,27.57,89.71
Frieda,Ranjiv,Los Angeles Lakers,21,22.32,39.87,61.82,40.51,61.43,5.38
Frank,Natalia,Houston Rockets,29,35.76,38.88,7.25,11.39,86.85,72.42
Elie,Wilona,Houston Rockets,20,2.39,10.8,54.31,16.47,55.6,88.87
Pollyanna,Susannah,San Antonio Spurs,20,52.37,82.32,74.88,1.5,55.45,55.2
Cyndie,Whiffen,Oklahoma City Thunder,18,5.53,20.71,24.37,53.86,8.41,95.69
Nataline,Charmine,Los Angeles Lakers,22,2.59,33.04,58.07,89.64,68.16,22.52
Jackie,Zitvaa,San Antonio Spurs,26,82.37,58.19,61.78,81.74,31.92,58.64
Sibella,Beebe,Indiana Pacers,25,8.5,26.94,98.35,51.79,87,47.63
Iseabal,Eugenia,Milwaukee Bucks,19,90.47,57.31,8.75,40.08,29.66,87.63
Albertina,Bonucci,Phoenix Suns,23,79.14,28,50.42,63.51,30.59,47.29
Evita,Zachary,Philadelphia 76ers,25,76.34,22.97,48.47,78,34.74,87.9
Michaelina,Jerold,Los Angeles Lakers,28,47.44,24.4,91.91,26.94,14.33,69.89
Sindee,Heidt,Atlanta Hawks,19,25.28,57.55,76.17,12.08,53.05,29.53
Shirlee,Shirberg,Houston Rockets,19,64.02,14.35,76.35,87.56,6.01,44.44
Pamella,Faso,Phoenix Suns,30,83.1,43.52,36.29,3.99,96.61,91.73
Lesly,Fiester,Indiana Pacers,23,13.7,84.26,86.77,8.18,76.75,52.51
Concettina,Bearnard,Portland Trail Blazers,30,34.45,11.12,28.65,32.46,30.55,34.77
Tabbatha,Torray,Utah Jazz,30,48.28,91.41,82.5,82.89,7.25,43.72
Elena,Ralfston,Miami Heat,26,1.2,27.89,29.01,14.57,32.64,48.33
Adele,Berl,Sacramento Kings,21,60.41,64.07,32.34,79.97,4.02,42.07
Dyann,Stevy,Brooklyn Nets,30,64.07,18.46,52.47,54.24,14.04,97.09
Jennica,Ehrman,Phoenix Suns,27,29.25,76.01,56.63,94.55,78.02,56.29
Alia,Lea,Orlando Magic,18,14.77,77.36,2.44,58.91,48.56,15.29
Peri,Baptlsta,Dallas Mavericks,26,25.22,72.06,95.7,2.52,36.04,31.67
Orelia,Wenda,,25,58.83,15.47,55.92,24.13,60.4,78.25
Felice,Angelis,Phoenix Suns,25,70.9,93.32,43.14,41.43,36.95,64.95
Rivalee,Mich,Minnesota Timberwolves,25,62.1,72.33,79.59,28.55,62.88,82.46
Karina,Aloise,Utah Jazz,25,15.65,33.45,83.33,40.55,41.59,93.9
Giustina,Merell,Washington Wizards,20,85.35,9.74,15.63,11.94,9.1,41.41
Brandise,Burnside,Denver Nuggets,23,55.89,60.63,83.85,17.31,71.6,30
Kayla,Stilwell,Houston Rockets,19,95.23,81.38,14.68,3.98,23.51,72.11
Darlleen,Hewitt,Utah Jazz,29,69.47,49.41,83.2,65.55,7.88,14.62
Margette,Flita,Detroit Pistons,18,86.59,51.13,9.62,52.73,60.98,29.15
Rivalee,Rubie,Sacramento Kings,21,36.25,33.63,2,51.93,56.27,61.98
Robinia,Penelopa,Denver Nuggets,23,44.19,78.88,96.25,92.8,93.69,3.07
Chere,Candy,Minnesota Timberwolves,23,87.1,62.09,42.73,61.75,58.51,96.06
Katuscha,Darrell,Miami Heat,30,32.16,11.49,71.27,46.97,44.99,90.27
Janenna,Pierette,Utah Jazz,29,21.03,12.14,28.21,88.1,33.1,40.52
Edith,Jobi,Washington Wizards,27,36.99,17.38,83.21,45.91,54.65,96.75
Chickie,Wildermuth,Cleveland Cavaliers,28,26.07,8.84,39.05,89.68,47.06,62.07
Fayre,Boehike,Miami Heat,27,29.03,46.58,88.68,45.1,82.89,41.69
Karly,Rosalba,San Antonio Spurs,19,82.02,27.93,56.7,49.66,46.1,77.75
Amii,Brenn,Milwaukee Bucks,27,2.04,97.9,45.73,65.19,81.53,82.71
Ketti,Adamsen,Sacramento Kings,29,20.42,82.75,9.75,58.88,46.05,52.49
Nannie,Giff,Sacramento Kings,25,9.76,43.72,43.28,82.99,46.73,18.02
Zia,Plato,New Orleans Pelicans,26,3.3,96.37,97.83,28.77,64.99,85.6
Nelle,Pelagias,Denver Nuggets,24,30.15,82.38,27.55,56.43,42.13,78.86
Sheelagh,Denis,Orlando Magic,29,43.83,45.16,43.19,46.17,89.83,13.84
Sue,Reinke,Cleveland Cavaliers,20,48.84,96.28,41.27,59.37,15.71,65.08
Benita,Havens,Toronto Raptors,21,56.38,61.09,71.54,42.63,78.96,84.58
Belinda,Joseph,Memphis Grizzlies,18,26.55,42.61,65.73,44.24,53.72,59.34
Alleen,Armanda,Washington Wizards,23,12.56,38.29,19.15,75.73,76.17,28.92
Hettie,Colp,Philadelphia 76ers,27,60.48,39.81,22.04,88.55,2.53,98.25
Dode,Eachern,Minnesota Timberwolves,25,13.49,35.28,3.62,1.99,43.72,46.31
Lisette,Hubert,Utah Jazz,25,78.27,61.73,57.49,66.85,62.07,75.69
Roxane,Ellerey,Brooklyn Nets,24,46.99,36.27,68.05,75.45,51.49,19.92
Edee,Kiersten,LA Clippers,22,93.58,41.04,14.48,97.3,47.54,27.43
Darlleen,Jarib,Milwaukee Bucks,27,94.98,91.37,82.58,32.5,46.5,68.77
Clarice,Bendick,Cleveland Cavaliers,28,19.39,83.06,95.01,97.21,64.49,81.78
Brooks,Pozzy,Dallas Mavericks,25,32.37,10.23,1.98,46.26,21.83,76.75
Tami,Silvan,,20,53.73,32.75,20.27,42.67,69.56,3.45
Dulcinea,Skell,Charlotte Hornets,26,39.14,62.65,87.73,6.77,27.66,55.57
Madalyn,Lynn,Charlotte Hornets,19,22.28,8.16,59.18,92.73,43.58,8.33
Tarra,Helve,Atlanta Hawks,30,79.75,36.48,94.05,61.3,65.93,60.57
Roz,Seessel,Boston Celtics,25,63.29,7.16,51.86,67.85,54.05,52.64
Dione,Alabaster,Golden State Warriors,19,8.46,43.42,45.32,47.65,24.1,58.2
Florie,Morehouse,Indiana Pacers,25,52.69,3.02,97.02,88.44,66.52,62.43
Adriana,Hoban,Chicago Bulls,26,19.68,82.04,81.43,37.4,38.4,57.06
Angelique,Carleen,Indiana Pacers,18,18.38,50.31,55.97,58.22,10.23,39.03
Gusella,Richers,Miami Heat,26,84.62,74.76,3.14,45.73,79.1,93.49
Jaime,Engdahl,Utah Jazz,30,47.44,6.6,22.8,48.9,75.81,30.43
Ida,Barbey,Oklahoma City Thunder,23,51.37,49.44,37.78,35.4,53.28,9.08
Mildrid,Seligman,Utah Jazz,22,86.41,72.26,34.39,85.73,55.01,28.53
Gloria,Campball,New York Knicks,23,96.42,33.1,46.95,97.11,97.53,44.17
Tonia,Pozzy,Memphis Grizzlies,19,54.65,39.21,70.4,24.46,4.25,90.01
Coral,Sparhawk,Dallas Mavericks,21,24.79,17.48,18.18,64.7,21.18,73.47
Maurene,Janene,Indiana Pacers,20,12.15,44.2,65.14,62.76,54.12,2.59
Aili,Howlyn,Washington Wizards,25,17.22,3.18,45.73,43.65,77.78,98
Ginnie,Denis,Washington Wizards,24,62.53,38.7,69.3,82.94,10.78,95.82
