firstname,lastname,team,age,trueShooting,usage,assist,rebound,defensive,blocks
Codie,Jammal,Philadelphia 76ers,27,11.72,17.48,24.62,36.84,49.11,34.8
Calla,Ivens,Atlanta Hawks,27,55.61,76.62,54.87,58.71,44.69,14.28
Kittie,Garlinda,Washington Wizards,25,75.64,62.97,49.17,87.42,43.88,57.74
Carilyn,Hylan,Miami Heat,19,32.36,3.37,83.54,78.19,87.59,70.3
Raf,Smitt,San Antonio Spurs,26,99.87,18.74,21.68,67.57,73.76,99.71
Jolyn,Burnside,Milwaukee Bucks,19,9.57,17.52,9.78,42.78,6.48,68.18
Emma,Janene,Chicago Bulls,22,38.01,30.5,39.54,61.88,13.69,94.9
Caryl,Monk,,24,67.13,53.58,58.38,73.89,42.76,6.88
Nollie,Azeria,Chicago Bulls,30,37.05,62.89,99.37,26.35,24.06,87.31
Daune,Tatianas,New York Knicks,26,42.72,7.61,35.49,87.84,52.57,53.94
Robbi,Land,Philadelphia 76ers,28,33.61,10.3,15.95,75.5,85.53,62.67
Minne,Wind,Dallas Mavericks,18,20.99,54.79,68.37,8.28,69.47,73.49
Kassey,Jeanne,Denver Nuggets,21,1.5,84.67,49.57,98.74,78.41,12.61
Penelopa,Sinegold,Cleveland Cavaliers,23,25.6,31.94,94.96,8.82,38.26,20.93
Bobinette,Fiann,Houston Rockets,28,96.55,15,95.93,13.9,63.78,48.76
Gertrud,Lissi,Brooklyn Nets,27,54.24,62.7,68.61,18.65,71.07,28.08
Margarette,Colbert,Brooklyn Nets,20,46,68.16,67.37,18.97,44.35,54.5
Corina,Poll,Detroit Pistons,23,50.17,86.82,80.38,16.98,71.3,40.94
Asia,Anton,Charlotte Hornets,26,6.87,33.96,46.4,57.33,12.02,35.72
Anthia,Rad,Indiana Pacers,22,44.79,78.19,24.07,55.1,1.59,87.56
Meriel,Hylan,Utah Jazz,22,1.59,30.34,54.05,88.32,37.21,49.77
Courtnay,Imelida,Milwaukee Bucks,19,90.64,35.93,25.44,57.68,19.47,7.76
Dorice,Howlyn,Orlando Magic,19,73.25,14.35,90.51,21.9,18.84,96.87
Sherrie,Blase,Minnesota Timberwolves,24,77.45,47.88,23.63,95.69,74.85,37.83
Allyce,Cyrie,San Antonio Spurs,24,76.58,9.91,37.18,74.06,10.14,20.47
Nariko,Lewes,Brooklyn Nets,28,73.02,85.1,56.91,13.03,18.13,96.78
Alie,Rolf,Chicago Bulls,22,78.65,32.71,24.56,82.4,12.45,56.55
Heddie,Gamaliel,San Antonio Spurs,28,18.58,81.77,10.99,58.06,24.14,11.01
Courtnay,Desai,Denver Nuggets,19,45.58,54.15,74.77,58.75,31.84,46.8
Glynnis,Vharat,Washington Wizards,24,65.53,73.58,68.7,37.56,9.4,95.55
Josephine,Bari,Boston Celtics,23,38.54,57.44,52.4,14.39,3.56,24.8
Edyth,Rodmann,San Antonio Spurs,20,82.11,53.54,4.1,43.84,24.2,58.79
Wynne,Morehouse,Philadelphia 76ers,24,52.03,93.77,92.77,53.92,75.55,52.41
Rosanne,Tjon,Miami Heat,25,25.38,33.13,34.7,25.36,4.67,6.49
Gilda,Uund,Philadelphia 76ers,24,38.54,37.79,8.63,72.24,84.08,77.6
Merle,Thunell,Charlotte Hornets,22,96.94,18.16,6.03,59.67,92.71,26.87
Marti,Macey,Minnesota Timberwolves,22,1.97,47.55,87.64,84.39,51.25,23.79
Nanete,Drisko,Chicago Bulls,21,58.87,35.49,96.69,10.95,65.62,62.46
Tera,Greenwald,Cleveland Cavaliers,28,61.43,31.93,84,77.66,77.91,31.31
Jere,Hirsch,Philadelphia 76ers,22,31.27,89.77,84.15,70.44,15.63,37.57
Dede,Huggins,Houston Rockets,30,1.6,27.24,12.31,73.16,51.85,21.11
Lucille,Bury,New York Knicks,22,99.73,94.05,42.35,85.16,27.65,13.63
Alexine,Noam,LA Clippers,26,88.82,62.25,46.68,27.58,79.57,61.2
Candi,Bohlin,Indiana Pacers,26,49.94,26.59,10.32,4.17,61.55,97.53
Roz,Lauraine,Utah Jazz,26,73.09,18.93,14.95,83.89,50.62,78.62
Petronia,Stilwell,Cleveland Cavaliers,22,19,23.76,83.45,45.61,79.16,37.8
Elbertina,Duwalt,Houston Rockets,21,17.9,36.16,53.63,2.22,32.46,49.85
Gusella,Sherfield,Charlotte Hornets,23,12.61,12.43,87.28,98.11,22.46,36.05
Gilligan,Emanuel,Chicago Bulls,29,1.03,31.14,95.85,19.09,71.62,81.95
Sibella,Zaslow,New York Knicks,28,99.97,14.69,78.34,77.18,94.96,53.77
Helena,Zola,Atlanta Hawks,21,57.72,21.04,47.83,91.74,1.9,56.47
Raf,Nicoline,Charlotte Hornets,21,7.17,79.45,45.73,50.67,18.96,60.4
Vanessa,Ovid,Houston Rockets,23,77.22,32.41,23.67,60.23,83.9,94.68
Latisha,Clie,New Orleans Pelicans,19,29.03,50.09,20.7,83.79,98.35,90.88
Melanie,Elbertina,New York Knicks,25,67.68,58.08,96.63,46.19,79.67,93.09
Randa,Mott,Detroit Pistons,29,53.52,2.93,6.77,81,85.93,49.33
Maye,Georas,Brooklyn Nets,22,20.66,10.71,19.9,27.55,79.75,94.25
Teriann,Jeanne,Miami Heat,26,17.79,16.47,10.16,46.92,87.34,49.32
Agathe,Tomasina,New York Knicks,19,60.61,94.62,54.65,99.55,42.53,6.75
Meriel,Kirstin,Phoenix Suns,29,79.35,67.41,66.34,88.19,95.95,37.64
Hayley,Henrie,Brooklyn Nets,18,62.34,98.67,34.11,41.64,38.11,42.99
Jaclyn,McCutcheon,Philadelphia 76ers,19,39.97,78.71,63.13,47.97,19.87,66.1
Konstance,Vacuva,Memphis Grizzlies,22,23.71,63.76,8.03,99.44,89.15,31.65
Roslyn,Fennessy,Cleveland Cavaliers,27,33.81,18.83,64.79,27.8,29.83,26.17
Dale,Emerson,Minnesota Timberwolves,23,36.17,36.44,57.26,51.54,91.48,52.17
Marinna,Schalles,San Antonio Spurs,27,55.67,15.7,33.4,53.5,59.09,96.5
Berget,Joni,Washington Wizards,24,68.45,11.01,9.59,74.28,20.39,25.81
Cindelyn,Autrey,Memphis Grizzlies,22,27.78,91.8,75.35,21.43,13.47,87.84
Gretal,Kosey,Milwaukee Bucks,23,26.06,11.41,99.23,39.89,46.5,5.41
Loree,Gabrielli,Los Angeles Lakers,18,72.38,70.22,74.56,75.32,92.22,6.64
Jessy,Tjon,Sacramento Kings,30,90.55,56.4,66.44,20.14,5.15,51.55
Di,Carlson,Golden State Warriors,29,5.93,98.32,72.25,83.64,6.28,13.55
Flory,Tybald,Toronto Raptors,29,87.54,66.2,98.83,94.39,98.07,53.03
Anthia,Mathilde,Charlotte Hornets,20,18.05,88.21,92.42,34.29,97.7,12.99
Fawne,Sherfield,Brooklyn Nets,23,89.9,21.34,72.63,85.99,57.86,40.33
Josephine,Margret,Sacramento Kings,21,49.54,91.07,14.14,32.19,50.49,15.13
Alia,Donell,Sacramento Kings,24,32.96,27.04,28.53,58.62,47.09,60.71
Theodora,Medrek,LA Clippers,24,24.38,18.84,27.58,65.34,95.93,44.52
Mireielle,Norvol,Toronto Raptors,27,3.35,74.09,26.98,7.69,37.87,5.53
Carly,Karylin,Minnesota Timberwolves,18,26.93,7.53,63.93,94,53.78,99.19
Basia,Carbo,Los Angeles Lakers,30,6.91,32.31,48,73.97,55.11,42.95
Lorenza,Baylor,Golden State Warriors,24,69.59,33.52,9.74,53.55,91.86,24.52
Winifred,Lanita,Houston Rockets,25,97.8,25.55,13.66,3.44,83.55,33.34
Corene,Brady,Miami Heat,20,97.23,69.98,4.5,17.88,79.33,71.37
Lorenza,Screens,Orlando Magic,28,71.57,89.92,84.92,92.09,97.42,80.38
Korrie,Llovera,New York Knicks,25,26.99,47.42,5.05,1.89,87.89,23.02
Dode,Lattie,Washington Wizards,29,1.05,21.1,42.96,3.32,65.79,8.12
Joleen,Colp,Atlanta Hawks,19,98.18,97.79,5.14,63.59,97.81,47.85
Ariela,Sasnett,New Orleans Pelicans,26,87.1,2.61,53.97,68.03,78.08,48.72
Jenilee,Ivens,LA Clippers,22,88.43,81.73,28.62,19.08,94.63,65.57
Sharai,Anderea,Los Angeles Lakers,29,88.7,57.64,87.52,75.83,51.8,66.16
Amara,Koziara,,27,47.23,91.7,25.71,65.98,73.96,70.32
Charmaine,Bari,Golden State Warriors,20,38.33,68.98,79.95,14.28,42.7,60.2
Gretal,Nea,Phoenix Suns,28,93.57,89.31,44,58.74,13.97,52.85
Meghann,Clywd,Phoenix Suns,20,84.98,48.85,35.48,62.75,58.44,77.2
Hildegaard,Cookie,Philadelphia 76ers,26,44.91,1.9,78.27,60,94.09,48.48
Lizzie,Lewes,Sacramento Kings,30,83.06,96.78,55.51,79.71,65.8,27.07
Fayre,Gherardo,Detroit Pistons,27,25.99,98.76,91.08,42.08,94.74,98.69
Felice,Yusuk,Detroit Pistons,24,63.12,25.11,51.21,30.97,33.61,44
Ida,Olin,Philadelphia 76ers,18,39.64,24.59,47.04,46.19,99.42,29.72
Bibby,Japeth,LA Clippers,26,40.09,75.39,31.25,53.67,74.75,48.8
June,Izaak,Toronto Raptors,26,36.32,35.56,66.9,71.35,6.63,19.2
Atlanta,Daveta,Boston Celtics,26,99.77,57.73,75.76,37.14,63.82,28.19
Mara,Kellby,LA Clippers,19,62.66,85.92,72.3,38.84,89.79,45.16
Doralynne,Marcellus,New York Knicks,24,8.66,60.06,44.97,50.96,48.94,14.48
Angelique,Ludewig,Golden State Warriors,30,52.38,26.26,74.28,21.87,56.39,43.89
Merrie,Lea,Indiana Pacers,22,81.14,98.6,60.15,17.32,40.8,48.24
Marika,Verger,Chicago Bulls,29,39.01,69.05,24.23,23.53,32.5,3.26
Steffane,Stefa,Cleveland Cavaliers,25,87.29,73.98,59.92,78.9,7.7,16.88
Jeanna,Dom,Atlanta Hawks,18,71.61,21.18,59.66,94.77,85.43,12.31
Glynnis,Beebe,Chicago Bulls,27,9.96,7.99,71.6,68.8,33.78,56.64
Lusa,Daegal,Sacramento Kings,20,3.47,67.89,11.69,45.77,91.88,87.82
Mureil,Dom,New York Knicks,18,63.53,75.77,56.7,40.12,70.98,75.91
Malina,Yoko,Milwaukee Bucks,18,57.88,71.95,76.86,63.72,28.63,38.46
Angelique,Middleton,Portland Trail Blazers,22,5.23,21.69,87.15,29.18,1.09,24.24
Collen,Lia,Detroit Pistons,18,3.52,27.08,34.7,25.45,24.8,93.79
Annecorinne,Roscoe,Chicago Bulls,29,28.93,83.41,85.49,68.92,4.59,80.72
Valli,Colbert,Orlando Magic,27,96.93,20.82,60.08,4.81,87.93,20.14
Aimil,Etom,Indiana Pacers,19,72.69,57.49,7.53,69.23,11.42,62.33
Dennie,Rudolph,Golden State Warriors,25,45.87,44.4,37.81,28.41,36.4,77.55
Candy,Alisia,Golden State Warriors,18,92.79,50.84,16.89,31.18,24.05,11.02
Chickie,Flyn,Atlanta Hawks,29,82,34.13,50.97,3.7,74.75,19.6
Halette,Kannry,Denver Nuggets,29,51.76,29.26,19.63,62.76,3.87,34.22
Addia,Boehike,,23,71.09,72.47,70.36,49.26,24.37,47.13
Cristabel,Craggie,Milwaukee Bucks,30,13.52,89.67,47.85,72.27,48.74,37.99
Jaclyn,Albertine,Golden State Warriors,27,58.93,2.49,84.16,38.94,46.4,73.59
Tori,Lubin,Cleveland Cavaliers,22,65.78,18.44,54.38,3.98,6.64,15.25
Oona,Amadas,Atlanta Hawks,29,1.33,21.99,58.81,7.17,57.45,54.76
Jobi,Naor,Denver Nuggets,25,55.14,98.92,45.36,5.59,51.65,35.29
Michaelina,Hazlett,Charlotte Hornets,28,37.33,27.57,43.83,75.67,4.57,53.33
Jillayne,Jena,LA Clippers,23,52.06,8.37,70.78,44.84,87.21,97.13
Gratia,Tremayne,San Antonio Spurs,24,47.18,53.1,83.89,58.45,99.56,68.73
Amara,Frendel,Oklahoma City Thunder,21,22.61,54.62,15.91,45.83,33.61,68.35
Cam,Riordan,Denver Nuggets,18,13.33,93.95,34.93,1.17,14.15,77.24
Isa,Bettine,LA Clippers,26,63.47,42.3,68.5,50.9,52.87,7.77
Aurore,Germann,San Antonio Spurs,25,50.1,17.76,28.55,41.47,73.01,7.45
Rozele,Noman,Brooklyn Nets,24,94.78,81.96,92.68,56.33,59.67,59.51
Darci,Colleen,Los Angeles Lakers,26,56.8,23.33,60.92,14.35,5.63,95.5
Lorie,Stav,Oklahoma City Thunder,30,16.3,16.03,69.03,85.88,59.71,47.42
Elmira,Dyche,Philadelphia 76ers,26,29.46,93.28,41.95,49.85,73.81,51.74
Kirbee,Stevy,Indiana Pacers,29,81.04,22.91,74.34,10.57,53.05,60.85
Charmaine,Koziara,Orlando Magic,28,46.28,29.82,73.44,78.74,9.55,21.26
Phedra,Lia,Miami Heat,18,82.93,20.79,50.4,62.07,40.85,31.75
Jolyn,Waldron,Atlanta Hawks,22,39.47,77.42,46.35,27.64,27.69,11.21
Winifred,Ciro,Indiana Pacers,20,45.42,9.29,20.2,3.42,69.31,30.72
Lory,Meter,Milwaukee Bucks,27,42.01,3.98,38.57,50.18,32.77,58.8
Lenna,Meter,Phoenix Suns,22,90.24,14.34,62.85,53.33,29.15,35.85
Fawne,Eldrid,Toronto Raptors,26,21.82,41.98,74.69,6.28,43.35,85.07
Fredericka,Felecia,Houston Rockets,26,53.56,9.92,66.82,79.51,72.81,3.14
Ingrid,Raama,Minnesota Timberwolves,19,7.04,21.98,58.99,96.57,79.65,67.7
Devina,Jerold,Dallas Mavericks,21,8.4,33.52,90.42,19.12,92.02,70.36
Shauna,Weide,San Antonio Spurs,28,39.4,39.01,90.83,18.33,66.52,66
Carilyn,Wooster,Golden State Warriors,18,65.53,19.81,2.04,73.78,83.44,62.33
Mariele,Zetta,San Antonio Spurs,28,72.47,61.21,45.22,5.25,17.5,24.17
Lolita,Girardo,Chicago Bulls,23,54.15,98.48,89.96,21.74,67.65,59.24
Maye,Woodberry,Milwaukee Bucks,22,19.46,76.72,4.43,70.59,85.48,79.1
Vinita,Nikaniki,Phoenix Suns,27,82.56,11.05,99.44,8.64,62.42,21.6
Daryl,Berard,Miami Heat,21,28.75,69.39,70.24,60.15,99.38,46.12
Fanchon,Killigrew,Dallas Mavericks,26,90.4,89.8,39.08,62.95,80.93,11.32
Dorothy,Sholley,Sacramento Kings,30,20.34,73.96,38.09,60.65,78.91,73.3
Madelle,Peonir,Chicago Bulls,24,10.65,73,40.38,21.6,24.06,81.66
Jeanna,Remmer,Brooklyn Nets,21,91.46,56.09,15.92,77.56,42.11,59.08
Shaylyn,Peonir,Brooklyn Nets,23,94.27,16.17,16.65,21.69,60.68,95.71
Tonia,Chauncey,Charlotte Hornets,21,78.13,87.28,53.78,83.69,2.92,73.59
Jackie,Lesley,New York Knicks,22,47.16,19.64,75.47,98.41,68.79,26.8
Donnie,Devlen,Los Angeles Lakers,27,65.58,25.55,59.97,57.46,95.87,7.56
Elbertina,Waldron,Phoenix Suns,28,93.23,71.14,72.84,49.8,12.11,20.36
Chere,Kauppi,Minnesota Timberwolves,27,29.01,78.46,91.58,99.53,20.35,14.16
Ofilia,Stevy,Washington Wizards,25,31.61,23.58,21.05,71.5,67.24,62.54
Celestyna,Felizio,Orlando Magic,19,92.54,48.01,74.28,88.15,1.21,73.99
Edith,Timon,Charlotte Hornets,28,32.28,51.5,80.72,9.19,21.21,53.16
Alyssa,Quinn,Los Angeles Lakers,21,69.24,67.41,32.1,20.19,23.22,97.24
Sean,Carbo,Utah Jazz,18,25.98,55.63,10.91,32.41,42.54,49.62
Janey,Franza,Minnesota Timberwolves,26,23.82,95.08,80.91,70.62,80.63,81.74
Emylee,Liva,New York Knicks,25,66.65,61.83,20.63,45.97,19.05,28.93
Merci,Fillbert,Minnesota Timberwolves,19,10.71,80.07,46.83,5.3,60.97,99.23
Paule,Sharl,Houston Rockets,23,56.64,38.42,17.15,49.05,87.87,35.35
Sarette,Nunci,Sacramento Kings,25,75.99,8.56,19.04,83.51,20.5,83.28
Wendi,Goldina,Utah Jazz,29,23.72,31.45,15.73,13.63,19.67,15.24
Lanae,Rosemary,Los Angeles Lakers,19,83.94,1.38,27.38,14.44,99.61,12.8
Ardenia,Pauly,Chicago Bulls,28,40.59,28.56,65.37,54.83,41.89,67.92
Ulrike,Gunn,Los Angeles Lakers,21,14.52,39.57,61.95,56.85,65.04,68.05
Adriana,Durware,Houston Rockets,23,90.4,16.66,88.93,41.22,51.19,26.19
Zondra,Joli,Boston Celtics,19,40.25,79.15,50.41,20.68,42,39.59
Nicoli,Anderea,Washington Wizards,29,25.41,68.41,79.99,65.32,75.01,45.2
Wendi,Othilia,Sacramento Kings,20,37.08,94.7,24.58,20.29,38.26,47.08
Sabina,Artie,Brooklyn Nets,30,68.32,38.99,99.43,82.28,72.42,82.01
Frank,Fosque,Orlando Magic,19,29.42,77.07,16.2,58.67,65.9,19.78
Gertrud,Lalitta,Denver Nuggets,28,28.55,52.89,14.79,66.55,56.15,61.39
Ardys,Kravits,Sacramento Kings,18,61.45,80.19,1.16,61.89,76.8,29.33
Mellicent,Zrike,Brooklyn Nets,21,89.71,39.46,10.29,75.69,22.67,70.3
Misha,Kussell,Milwaukee Bucks,19,68.71,24.3,82.12,63.15,4.09,4.12
Harmonia,Montgomery,Houston Rockets,24,85.72,47.16,60.18,84.52,76.39,14.69
Cathie,Kimmie,Philadelphia 76ers,28,99.69,63.3,3.25,89.55,16.51,92.63
Leontine,Ciapas,San Antonio Spurs,20,39.8,26.43,15.76,4.72,53.07,10.57
Constance,Pyle,Detroit Pistons,26,79.8,88.52,97.16,92.55,1.86,3.45
Doralynne,Nikaniki,Detroit Pistons,19,11.59,76.15,23.52,21.88,23.63,60.5
Sibella,Carlson,Chicago Bulls,27,26.39,99.29,69.5,23.12,68.38,12.3
Dorthy,Curren,Dallas Mavericks,27,46.74,23.82,47.93,11.08,21.49,11.44
Marsiella,Colbert,Orlando Magic,19,32.13,16.88,14.51,35.31,24,45.35
Livvyy,Stanwood,Philadelphia 76ers,25,22.33,24.03,81.85,96.62,24.74,80.4
Anestassia,Cynar,Orlando Magic,20,63.68,86.72,81.87,11.7,45.91,61.77
Adore,Dosia,Dallas Mavericks,25,99.33,64.16,57.02,37.28,93.81,38.99
Hermione,Leffen,LA Clippers,27,40.84,65.91,51.89,14.53,53.19,39.97
Brianna,Kazimir,Miami Heat,22,90.52,8.92,69.81,88.94,62.53,39.29
Binny,Cavan,Minnesota Timberwolves,18,76.23,7.74,61.15,92.24,97.2,33.55
Merci,Eben,New York Knicks,25,69.78,1.75,99.74,86.24,13.96,60.47
Laurene,Chesna,Los Angeles Lakers,23,72.96,46.15,59.69,69.65,47.73,69.99
Gwyneth,Cherianne,Dallas Mavericks,19,66.14,68.04,53.06,16.88,11.97,99.32
Rubie,Natica,Sacramento Kings,23,40.58,5.83,19.73,6.23,51.87,81.96
Rochette,Vittoria,Washington Wizards,30,75.24,12.19,98.98,3.73,52.8,47.21
Marleah,Jess,Sacramento Kings,23,66.7,20.02,66.85,38.35,39.07,64.13
Tiffie,Lauraine,Milwaukee Bucks,18,51.74,28.78,68.92,36.19,33.14,72.97
Bibby,Berriman,Minnesota Timberwolves,26,53.46,37.07,34.13,26.52,9.55,79.02
Edith,Connelly,Washington Wizards,21,49.92,19.09,43.12,60.58,32.34,10.93
Codie,Lamoree,Miami Heat,29,45.77,21.44,59.08,93.69,78.89,13.88
Dale,Ioab,Miami Heat,30,28.85,74.31,12.28,14.65,36.49,18.87
Latisha,Lewes,Sacramento Kings,20,20.07,20.84,36.4,13.82,43.58,23.78
Daryl,Avi,Minnesota Timberwolves,21,36.35,97.99,43.36,30.93,45.93,39.51
Sarette,Fennessy,Orlando Magic,26,25.57,72.93,26.15,17.07,66.34,70.15
Lauryn,Raffo,Oklahoma City Thunder,23,50.59,44.3,32.65,12.37,53.47,21.31
Rosanne,Elo,Memphis Grizzlies,26,11.83,57.6,71.03,72.17,15.55,88.64
Amelia,Sikorski,Houston Rockets,20,18.45,82.65,33.1,79.82,48.57,15.98
Amelia,Marlie,Charlotte Hornets,29,20.02,30.38,5.9,2.38,35.18,49.35
Bee,Ricki,Toronto Raptors,30,46.42,70.55,64.28,86.32,23,88.65
Donnie,Cleavland,Phoenix Suns,25,42.99,28.2,63.64,93.92,94.84,15.59
Linet,Georgy,Cleveland Cavaliers,28,48.91,62.23,82.38,79.89,66.41,61.01
Coral,Heisel,Toronto Raptors,23,61.51,78.16,80.21,81.22,31.97,7.97
Lacie,Ovid,Denver Nuggets,20,59.61,99.22,89.85,91.49,30.1,77.84
Fanny,Morrill,New York Knicks,20,68.41,14.75,79.68,75.79,73.33,68.03
Moyna,Gaspard,San Antonio Spurs,20,17.48,16.32,91.6,84.84,62.37,65.49
Robbi,Roxanna,Orlando Magic,20,32.13,59.51,19.15,95.18,63.74,34.12
Camile,Keelia,Philadelphia 76ers,28,34.66,37.82,92.41,28.15,32,13.02
Gusty,Taam,Utah Jazz,24,64.23,90.93,34.74,58.07,79.26,4.48
Sarette,Wareing,Portland Trail Blazers,21,18.16,20.06,16.34,99.93,98.52,47.03
Starla,Marlie,Dallas Mavericks,26,31.92,41.83,97.55,13.65,40.76,43.35
Roberta,Autrey,Houston Rockets,23,94.7,2.23,62.62,61.45,54.14,95.6
Odessa,Fleeta,Indiana Pacers,25,55.94,51.65,10.69,2.93,96.48,20.86
Inga,Lutero,Utah Jazz,22,79.52,30.45,2.74,5.17,10.25,17.36
Britni,Dearborn,Washington Wizards,23,32.03,34.68,68.57,64.86,31.84,28.66
Ellette,Odysseus,Detroit Pistons,21,89.03,31.86,6.36,58.29,54.62,75.36
Pamella,Jethro,Milwaukee Bucks,25,39.85,24.34,23.55,64.39,51.37,65.59
Carmela,Kamaria,Cleveland Cavaliers,21,48.65,13.52,45.02,69.88,72.81,76.57
Hope,Ardeha,Orlando Magic,23,26.57,35.99,73.5,21.27,64.86,22.14
Lynde,Jerold,Brooklyn Nets,27,73.97,10.3,96.68,38.51,54.89,74.24
Lonnie,Zola,Chicago Bulls,29,27.94,32.75,58.02,55.34,39.68,29.63
Fredericka,Alejoa,Detroit Pistons,22,6.92,22.42,99.93,38.05,43.82,85.74
Maud,Ellerey,New York Knicks,22,6.69,25.18,66.91,24.57,93.86,69.33
Shirlee,Craggie,Toronto Raptors,29,6.09,84.96,20.99,64.48,52.25,88.27
Melodie,Bertold,Sacramento Kings,29,20.29,43.09,28.29,96.98,96.13,65.81
Latisha,Cloris,Philadelphia 76ers,21,34.93,82.8,28.09,60.77,38.77,66
Lulita,McGrody,Chicago Bulls,23,62.96,11.13,55.77,99.75,81.87,95.46
Ericka,Gavrila,Indiana Pacers,26,32.09,50.97,88.51,5.86,73.81,70.94
Brynna,Wenda,Memphis Grizzlies,19,2.11,75.23,68.11,18.03,26.7,61.74
Benita,Abram,New Orleans Pelicans,19,64.5,70.99,96.69,35.12,46.6,58.98
Vanessa,Felizio,Los Angeles Lakers,18,73.22,62.38,92.4,25.55,75.83,61.82
Ira,Francene,Utah Jazz,25,25.17,40.29,77.73,75.13,45.43,94.64
Cassondra,Wu,Houston Rockets,25,72.36,67.3,10.82,67.61,71.72,47.9
Monika,Bohlin,Milwaukee Bucks,29,54.79,40.74,10.15,34.29,66.96,32.8
Oona,Curren,LA Clippers,20,89.71,44.8,43.79,10.62,69.4,64.06
Sam,Mandler,Brooklyn Nets,26,1.29,52.46,97.25,17.61,42.22,21.73
Darci,Lenny,Brooklyn Nets,25,64.78,30.77,24.99,51.99,62.7,21.24
Caritta,Lindemann,Sacramento Kings,19,27.32,11.04,1.62,16.34,14.92,39.82
Nanete,Thomasina,Orlando Magic,20,92.51,41.03,37.37,82.52,73.32,18.46
Hermione,Cherianne,New Orleans Pelicans,23,68.19,71.15,26.28,41.58,60.75,62.24
Marcelline,Jobi,Houston Rockets,23,78.69,11.69,2.34,23.82,47.48,49.06
Verla,Harl,Denver Nuggets,20,60.82,93.28,89.65,59.46,71.97,6.41
Ardeen,Dannye,Minnesota Timberwolves,19,93.61,38.11,2.16,77.95,17.48,68.85
Maridel,Oster,San Antonio Spurs,21,32.43,7.37,79.13,11.13,42.71,51.1
Kary,Sparhawk,Golden State Warriors,24,50.18,77.75,30.06,39.98,76.37,10.24
Sadie,Edvard,Philadelphia 76ers,27,17.82,3.44,11.2,83.43,16.22,87.34
Gianina,Allys,Denver Nuggets,26,74.87,66.09,31.09,98.88,14.1,53.57
Kylynn,Devlen,Memphis Grizzlies,24,24.14,26.24,61.36,10.11,10.14,80.2
Kathy,Tatianas,New Orleans Pelicans,21,96.89,59.61,94.21,22.56,47.83,57.97
Natka,Dowski,Detroit Pistons,26,22.2,56.06,97.2,80.69,42.87,42.73
Kimmy,Carvey,Denver Nuggets,18,39.78,66.53,82.54,53.38,22.79,33.31
Dorthy,Seumas,Oklahoma City Thunder,18,63.05,54.66,97.7,64.64,9.06,60.62
Ekaterina,Winnick,Orlando Magic,30,90.05,56.63,31.65,22.79,25.52,8.65
Atlanta,Couture,Detroit Pistons,29,66.61,10.96,54.88,57.15,68.89,95.64
Luci,Noman,Oklahoma City Thunder,27,28.53,23,16.34,20.27,88.49,92.68
Mallory,Raimondo,Los Angeles Lakers,19,92.55,49.42,11.31,20.2,53.26,88.18
